,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
84733,GJ557.0,218.663175,29.740505,2453774.8974278,-23.079482,1.68528,164.111486,1.196572,-79.192111,1.451381,162.519896,0.684922,-79.192111,1.451381,25.893669,14.113872,14.328509,1.292112,0.412645,0.000361,0.5636,0.000636,0.700342,0.000774,0,12.398899,13.357275,0.138364,0,210.8,2453774.89752,20.343692,20.343654,0,-9999999,0.0,-0.858926,0.85654,-1.59159,0.981156,0.37,73,25.832988,13.959865,2006-02-08T09:29:15.426,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.65928817973445e-05,6.64650740939068e-06,1,0
84734,GJ557.0,218.663175,29.740505,2453774.8986834,-21.308711,1.721821,162.240712,1.21116,-77.421734,1.493655,160.646762,0.7101,-77.421734,1.493655,47.150838,16.020908,14.402473,1.669137,0.413096,0.000377,0.563555,0.000658,0.699644,0.0008,0,12.405848,13.365843,0.1393,0,203.8,2453774.89878,20.34072,20.340674,0,-9999999,0.0,-0.859321,0.856541,-1.59395,0.981156,0.39,73,47.01628,15.873931,2006-02-08T09:31:02.447,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.78271852181588e-05,8.50035821148894e-06,1,0
84735,GJ557.0,218.663175,29.740505,2453775.9009337,-20.534246,2.083635,167.646582,1.319872,-76.647476,1.899439,166.179388,0.882832,-76.647476,1.899439,31.796901,16.568077,13.858848,1.621772,0.414953,0.000489,0.571927,0.000848,0.692683,0.001041,0,12.316766,13.421671,0.106114,0,157.6,2453775.90102,20.157823,20.157797,0,-9999999,5.3e-05,-0.859527,0.856542,-1.467247,0.981157,0.4,96,31.844012,16.609645,2006-02-09T09:34:01.108,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.62396220637721e-05,8.31905404264529e-06,1,0
84736,GJ557.0,218.663175,29.740505,2453775.9024572,-21.152236,1.938985,164.439148,1.278459,-77.265945,1.739539,162.96909,0.819625,-77.265945,1.739539,20.903149,15.239773,17.740273,1.468905,0.414149,0.000445,0.573329,0.000775,0.692166,0.00095,0,12.343607,13.415837,0.11345,0,172.6,2453775.90255,20.15419,20.154163,0,-9999999,5.3e-05,-0.860006,0.856543,-1.470111,0.981158,0.39,96,20.974784,15.257226,2006-02-09T09:36:13.692,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.73779043816196e-05,6.78724827226934e-06,1,0
84737,GJ557.0,218.663175,29.740505,2453776.8972331,-20.088507,2.614998,166.266076,1.431036,-76.324327,2.470739,164.778612,1.041729,-76.324327,2.470739,14.292073,22.158986,14.828198,2.310758,0.417991,0.000626,0.571154,0.001092,0.702182,0.001351,0,12.360303,13.394346,0.009509,0,123.5,2453776.89732,19.983391,19.98337,0,-9999999,0.000105,-0.982118,0.85654,-1.487569,0.981155,0.37,96,14.25007,22.209731,2006-02-10T09:28:38.503,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.68812918722034e-05,5.89684857494903e-06,1,0
84738,GJ557.0,218.663175,29.740505,2453776.8987784,-19.65123,2.481373,167.687804,1.393569,-75.887536,2.328851,166.197436,0.98963,-75.887536,2.328851,-20.490863,22.124324,13.601593,1.788962,0.418299,0.000583,0.555349,0.001017,0.701232,0.001262,0,12.358891,13.384667,0.020505,0,132.0,2453776.89888,19.979701,19.979648,0,-9999999,0.000105,-0.982603,0.856541,-1.490473,0.981156,0.41,96,-20.402633,22.23867,2006-02-10T09:30:48.175,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.6382393415349e-05,7.56211187163578e-06,1,0
84739,GJ557.0,218.663175,29.740505,2453777.8961566,-24.000531,1.989289,164.298613,1.286038,-80.280974,1.795441,162.805992,0.831402,-80.280974,1.795441,-0.054474,17.051258,10.010994,1.418607,0.417231,0.000469,0.560319,0.000812,0.708017,0.000998,0,12.303859,13.464343,0.197788,0,165.8,2453777.89625,19.797072,19.797035,0,-9999999,0.000157,-1.02674,0.85654,-1.492778,0.981155,0.37,73,-0.144947,17.04608,2006-02-11T09:27:08.288,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.57627668191726e-05,7.83161730510548e-06,1,0
84740,GJ557.0,218.663175,29.740505,2453777.8973996,-27.731831,1.971506,159.624253,1.283797,-84.012664,1.775718,158.129296,0.827931,-84.012664,1.775718,35.2732,16.837675,10.47102,1.564465,0.41753,0.000467,0.56045,0.000806,0.707688,0.00099,0,12.30477,13.470491,0.182805,0,167.0,2453777.89749,19.794094,19.794075,0,-9999999,0.000157,-1.027131,0.85654,-1.495114,0.981156,0.37,73,35.376648,16.817578,2006-02-11T09:28:55.670,-9999999,G2,076.C-0279(A),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.72133318237845e-05,6.04375803802279e-06,1,0
84741,GJ557.0,218.663175,29.740505,2453779.8956041,-38.754075,1.629268,143.427159,1.179918,-96.800589,1.442412,141.965422,0.655395,-96.800589,1.442412,-19.275256,11.965753,10.334486,1.450262,0.414709,0.000362,0.558867,0.000635,0.71395,0.000785,0,12.375515,13.375583,0.157841,0,211.8,2453779.89569,19.403826,19.403778,0,-9999999,0.000262,-2.792812,0.757603,-1.461999,0.981155,0.41,96,-18.937721,12.050055,2006-02-13T09:25:56.934,-9999999,G2,076.C-0279(B),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.67397147815509e-05,8.03630063121908e-06,1,0
84742,GJ557.0,218.663175,29.740505,2453779.8970923,-42.301183,1.657432,142.525902,1.189786,-100.348165,1.474149,141.061367,0.672997,-100.348165,1.474149,-30.056644,11.90309,7.780467,1.253811,0.415936,0.000373,0.561035,0.000653,0.713462,0.000805,0,12.375629,13.385706,0.145636,0,206.5,2453779.89718,19.400234,19.400211,0,-9999999,0.000262,-2.793279,0.757604,-1.464797,0.981155,0.38,96,-29.91979,12.004641,2006-02-13T09:28:08.377,-9999999,G2,076.C-0279(B),Galland,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_F3,1.74974109639784e-05,7.16837522310155e-06,1,0
