Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
13368,131156,apf,rabv.264,2456627.069676,-99.43,1.41156,-1,33521.0
13369,131156,apf,rabw.243,2456629.085736,-104.12,1.31466,-1,43186.0
13370,131156,apf,raby.234,2456632.05992,-120.29,1.624273,-1,22869.0
13371,131156,apf,racd.282,2456648.044738,-95.05,1.676574,-1,21363.0
13372,131156,apf,racx.248,2456709.052026,-97.01,1.410327,-1,24295.0
13373,131156,apf,radb.218,2456724.99739,-131.08,1.479884,-1,22152.0
13374,131156,apf,radd.215,2456729.040937,-65.71,1.404617,-1,19952.0
13375,131156,apf,radp.217,2456761.916499,-82.94,1.513108,-1,16461.0
13376,131156,apf,radv.215,2456777.904565,-69.77,1.50212,-1,15569.0
13377,131156,apf,rady.208,2456784.870623,-64.33,1.532101,-1,15102.0
13378,131156,apf,raec.197,2456793.873701,-51.23,1.508788,-1,15315.0
13379,131156,apf,raee.190,2456800.830307,-65.64,1.722433,-1,16031.0
13380,131156,apf,raeg.246,2456804.98456,-100.91,1.768017,-1,14665.0
13381,131156,apf,rael.193,2456813.793455,-60.29,1.538629,-1,15704.0
13382,131156,apf,raep.213,2456822.949366,-137.78,1.598871,-1,19885.0
13383,131156,apf,raez.184,2456843.687531,-95.69,1.588313,-1,15140.0
13384,131156,apf,raga.192,2456896.646586,-103.57,1.964397,-1,8031.0
13385,131156,apf,raho.237,2457027.016747,-70.37,1.290621,-1,33088.0
13386,131156,apf,rahx.229,2457046.940724,-44.51,1.584947,-1,17417.0
13387,131156,apf,rahx.253,2457047.053198,-49.83,1.432802,-1,22047.0
13388,131156,apf,raia.231,2457050.999004,-59.59,1.616622,-1,13940.0
13389,131156,apf,raia.232,2457051.000844,-56.57,1.738542,-1,14325.0
13390,131156,apf,raia.233,2457051.00265,-51.94,1.747958,-1,14539.0
13391,131156,apf,raic.239,2457055.051251,-78.23,1.526808,-1,14829.0
13392,131156,apf,raic.240,2457055.052744,-67.69,1.8122,-1,8890.0
13393,131156,apf,raic.241,2457055.054006,-70.70,1.672424,-1,10260.0
13394,131156,apf,raim.215,2457123.901258,-48.11,1.536374,-1,15116.0
13395,131156,apf,raim.216,2457123.902184,-47.89,1.449766,-1,14563.0
13396,131156,apf,raim.217,2457123.903145,-53.56,1.584647,-1,14643.0
13397,131156,apf,rain.252,2457124.925513,-50.35,1.374324,-1,16197.0
13398,131156,apf,rain.253,2457124.926416,-47.78,1.572054,-1,16463.0
13399,131156,apf,rain.254,2457124.927342,-49.42,1.338843,-1,15725.0
13400,131156,apf,raio.252,2457125.884916,-74.94,1.498642,-1,14523.0
13401,131156,apf,raio.253,2457125.885842,-68.63,1.43883,-1,15947.0
13402,131156,apf,raio.254,2457125.886745,-67.26,1.451061,-1,15957.0
13403,131156,apf,raiq.250,2457130.873477,-45.36,1.617793,-1,14968.0
13404,131156,apf,raiq.251,2457130.874437,-41.31,1.695799,-1,14084.0
13405,131156,apf,raiq.252,2457130.875386,-46.35,1.636091,-1,13775.0
13406,131156,apf,rair.216,2457132.894454,-68.31,1.687668,-1,12397.0
13407,131156,apf,rair.217,2457132.895438,-61.80,1.673999,-1,12178.0
13408,131156,apf,rair.218,2457132.896433,-62.56,1.582108,-1,12369.0
13409,131156,apf,rais.213,2457133.904842,-89.70,1.415409,-1,26113.0
13410,131156,apf,rais.214,2457133.907666,-90.66,1.249561,-1,31962.0
13411,131156,apf,rais.215,2457133.910096,-89.53,1.698093,-1,16344.0
13412,131156,apf,rait.209,2457135.856817,-21.53,1.593558,-1,14077.0
13413,131156,apf,rait.210,2457135.860324,-18.60,1.272336,-1,21284.0
13414,131156,apf,rait.211,2457135.862477,-23.44,1.552268,-1,24014.0
