,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
0,131156,2446957.7219,-287.69,17.250834,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
1,131156,2446957.7252,-282.87,15.42452,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
2,131156,2446958.8289,-289.37,15.314351,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
3,131156,2446959.826,-276.06,15.969457,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
4,131156,2446959.8302,-261.72,15.905096,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
5,131156,2447046.6926,-236.37,12.285578,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
6,131156,2447047.6617,-250.17,9.425694,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
7,131156,2447047.6662,-244.99,10.109617,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
8,131156,2447195.0594,-253.7,14.458968,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
9,131156,2447195.0646,-219.13,13.175847,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
10,131156,2447195.0698,-228.87,15.912167,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
11,131156,2447224.9478,-197.73,12.998496,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
12,131156,2447224.9513,-188.19,12.439322,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
13,131156,2447224.9547,-189.99,12.270874,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
14,131156,2447224.9581,-188.9,11.732422,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
15,131156,2447351.7413,-195.33,13.456028,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
16,131156,2447351.7582,-239.55,12.197347,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
17,131156,2447351.773,-239.33,12.854526,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
18,131156,2447373.7688,-243.92,9.372892,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
19,131156,2447373.7729,-241.26,9.223661,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
20,131156,2447373.7774,-244.45,9.122041,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
21,131156,2447394.6891,-220.86,9.479746,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
22,131156,2447578.968,-231.29,11.067847,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
23,131156,2447708.8006,-131.94,13.48739,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
24,131156,2447709.8058,-231.87,11.751102,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
25,131156,2447965.0237,-194.09,13.277108,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
26,131156,2448017.8684,-178.57,20.610275,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
27,131156,2448017.8771,-195.78,14.666304,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
28,131156,2448114.6892,-231.73,13.898355,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
29,131156,2448114.6944,-253.78,11.81373,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
30,131156,2448114.6996,-258.13,11.255012,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
31,131156,2448375.8809,-182.3,14.540494,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
32,131156,2448375.885,-196.88,13.286853,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
33,131156,2448437.8282,-194.47,10.670288,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
34,131156,2448799.8368,-153.96,10.069137,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
35,131156,2448801.7648,-162.0,12.884638,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
36,131156,2448847.72,-230.97,11.246409,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
37,131156,2448847.7241,-198.36,12.048358,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
38,131156,2449067.974,-49.65,14.124473,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
39,131156,2449067.9996,-157.05,14.222887,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
40,131156,2449114.8546,-174.61,13.663295,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
41,131156,2449172.7144,-185.58,11.606367,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
42,131156,2449172.7165,-193.44,9.880908,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
43,131156,2449350.0558,-139.33,13.802925,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
44,131156,2449350.0575,-125.55,13.814427,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
45,131156,2449412.0404,-62.5,15.00014,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
46,131156,2449464.8597,-115.42,25.635532,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
47,131156,2449464.8634,-92.38,19.015959,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
48,131156,2449469.8592,-124.52,12.540228,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
49,131156,2449770.0999,-140.05,4.490693,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
50,131156,2449770.106445,-140.35,6.184027,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
51,131156,2449858.780273,-70.61,5.657599,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
52,131156,2449858.802734,-70.85,5.536012,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
53,131156,2449914.732422,-99.27,4.407499,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
54,131156,2449914.741211,-101.79,4.342617,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1.0,Hamilton,2021ApJS..255....8R
