,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
1,131156,2449858.8251900002,13.14,9.48,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
2,131156,2449858.8457,-3.16,9.62,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
3,131156,2449914.75293,60.44,2.31,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
4,131156,2449914.7685599998,71.87,2.39,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
5,131156,2450181.86914,42.68,2.64,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
6,131156,2450503.01074,-28.33,3.35,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
7,131156,2450503.02637,-23.88,3.88,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
8,131156,2450613.76074,0.0,2.77,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
9,131156,2450655.70312,21.28,2.62,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
10,131156,2450656.71094,18.39,2.35,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
11,131156,2452451.77246,-99.51,3.43,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
12,131156,2453155.8310599998,-178.51,2.5,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
13,131156,2453482.78115,-197.14,2.71,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
14,131156,2454649.80878,-315.12,2.37,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,Hamilton,2014yCat..22100005F
