,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
406,GJ570.1,224.535914,-48.865245,2455983.9167278,198.292048,0.653436,32981.664502,0.672535,-11.581381,0.436132,32982.202272,0.362381,-11.581381,0.436132,-37.214418,4.613855,-12.565729,1.751995,0.430819,0.000371,0.318995,0.000492,0.43704,0.000646,0,7.115565,49.994551,-0.010578,33,203.6,2455983.91673,25.545746,25.545762,0,-9999999,0.0,0.224976,0.486588,0.53777,0.566554,0.51,250,-37.205732,4.578092,2012-02-26T09:56:42.540,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.14826057533827e-05,4.87027654630396e-07,0,0
407,GJ570.1,224.535914,-48.865245,2455983.9197608,201.260349,0.717506,32982.533574,0.7201,-8.614033,0.527299,32983.065645,0.444474,-8.614033,0.527299,4.465713,5.184772,21.24302,1.553234,0.43362,0.000484,0.321424,0.000632,0.438673,0.000828,0,7.132163,49.691645,-0.013805,33,160.1,2455983.91976,25.540486,25.540497,0,-9999999,1e-06,0.224023,0.486591,0.53207,0.566557,0.43,250,4.445166,5.163113,2012-02-26T10:01:24.566,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.11242395563846e-05,6.11117587363214e-07,0,0
408,GJ570.1,224.535914,-48.865245,2455983.9232223,198.317724,0.62656,32979.280037,0.655473,-11.557745,0.394719,32979.805602,0.329627,-11.557745,0.394719,32.635655,4.833157,46.251492,2.304637,0.433065,0.000393,0.319608,0.000492,0.439188,0.000649,0,7.146909,49.473468,-0.015156,33,205.3,2455983.92322,25.534505,25.534513,0,-9999999,1e-06,0.222936,0.486594,0.525564,0.566561,0.5,250,32.634104,4.801002,2012-02-26T10:06:06.111,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.12131872517643e-05,4.63025084896141e-07,0,0
409,GJ570.1,224.535914,-48.865245,2455984.896572,208.20834,0.648708,32992.339226,0.637643,-2.19719,0.422306,32992.308376,0.359019,-2.19719,0.422306,10.158006,4.485187,11.057502,1.187237,0.436047,0.000434,0.31007,0.000542,0.43417,0.000712,0,7.129582,49.803845,0.002452,33,186.1,2455984.89657,25.492503,25.492523,0,-9999999,0.000164,-0.307126,0.492422,-0.031014,0.526967,0.51,250,10.149836,4.476945,2012-02-27T09:27:33.866,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.18927242899516e-05,3.77156638326696e-07,0,0
410,GJ570.1,224.535914,-48.865245,2455984.8997989,207.444327,0.638744,32991.508931,0.631256,-2.962217,0.406832,32991.472016,0.347544,-2.962217,0.406832,15.011903,4.084691,10.747447,1.137704,0.436034,0.000424,0.3085,0.000527,0.435359,0.000694,0,7.129174,49.816976,0.00224,33,191.1,2455984.8998,25.486806,25.486817,0,-9999999,0.000164,-0.30814,0.492425,-0.037079,0.52697,0.5,250,15.007841,4.071678,2012-02-27T09:32:15.141,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.12499336827383e-05,4.58572705683614e-07,0,0
411,GJ570.1,224.535914,-48.865245,2455984.9030584,207.458488,0.644932,32991.189449,0.63549,-2.94908,0.416476,32991.146408,0.355171,-2.94908,0.416476,5.47375,4.684204,11.58139,1.107828,0.43578,0.000444,0.309058,0.000549,0.436802,0.000724,0,7.131143,49.800344,0.001955,33,183.7,2455984.90305,25.48106,25.481098,0,-9999999,0.000165,-0.309163,0.492427,-0.043206,0.526974,0.5,250,5.464205,4.672362,2012-02-27T09:36:56.737,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.15530497434963e-05,3.87481531590799e-07,0,0
412,GJ570.1,224.535914,-48.865245,2455985.8927715,207.568783,0.714083,32991.084902,0.747324,-3.966001,0.386217,32990.059751,0.328869,-3.966001,0.386217,8.847634,3.940796,9.258894,0.978006,0.434686,0.000389,0.310186,0.000489,0.432869,0.000641,0,7.128947,49.812544,0.000717,33,205.5,2455985.89276,25.402881,25.402901,0,-9999999,0.00033,-1.43638,0.600625,-1.025481,0.671073,0.51,250,8.841903,3.921766,2012-02-28T09:21:58.188,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,-9999999.0,-9999999.0,-9999999,-9999999
413,GJ570.1,224.535914,-48.865245,2455985.8960329,204.308403,0.705872,32987.612511,0.741223,-7.227405,0.370813,32986.581231,0.314753,-7.227405,0.370813,5.95915,4.174512,8.972442,0.914106,0.433846,0.000373,0.310138,0.000468,0.434276,0.000615,0,7.127105,49.822081,0.001774,33,214.6,2455985.89603,25.397095,25.397125,0,-9999999,0.000331,-1.437404,0.600627,-1.031611,0.671075,0.51,250,5.944419,4.135996,2012-02-28T09:26:39.944,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.08464597641285e-05,3.8606324142826e-07,0,0
414,GJ570.1,224.535914,-48.865245,2455985.8992681,206.792227,0.700809,32989.917234,0.737808,-4.744598,0.361079,32988.879873,0.306619,-4.744598,0.361079,4.921938,3.907545,7.08322,0.862907,0.433017,0.000362,0.311117,0.000456,0.435184,0.000598,0,7.126005,49.84324,-0.000259,33,221.0,2455985.89926,25.391363,25.391399,0,-9999999,0.000331,-1.43842,0.60063,-1.037692,0.671078,0.5,250,4.911111,3.882506,2012-02-28T09:31:21.950,-9999999,G2,188.C-0265(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.16143638046737e-05,3.67528256030213e-07,0,0
415,GJ570.1,224.535914,-48.865245,2456042.6955164,144.205148,0.987093,32928.499397,1.064451,-61.692164,0.490689,32931.827702,0.412912,-61.692164,0.490689,-17.917625,4.734993,-2.454986,1.115381,0.428609,0.000461,0.309753,0.000605,0.431303,0.000791,0,7.12381,49.929934,-0.003507,33,167.0,2456042.69551,9.906705,9.90689,0,-9999999,0.009825,4.201093,0.856491,3.31848,0.981102,0.48,250,-17.909582,4.765338,2012-04-25T04:32:49.731,-9999999,G2,188.C-0265(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2V,1.13139207282485e-05,4.96512093630789e-07,0,0
