Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
30752,166620,lick,rh19.5,2446958.9107,15.57,11.471503,-1,50029.0
30753,166620,lick,rh21.12,2447046.7259,15.81,8.049712,-1,33818.0
30754,166620,lick,rh52.33,2447374.8177,-56.61,10.276736,-1,137997.0
30755,166620,lick,rh79.18,2447846.6262,16.71,12.571463,-1,17175.0
30756,166620,lick,rh89.17,2448017.9608,-7.16,10.78435,-1,61234.0
30757,166620,lick,rh94.32,2448113.7594,-17.08,9.72119,-1,68249.0
30758,166620,lick,rh96.36,2448114.8295,-2.47,9.900088,-1,75405.0
30759,166620,lick,ra07.42,2448374.9694,3.05,11.345592,-1,16127.0
30760,166620,lick,ra10.42,2448437.9185,7.84,8.533832,-1,95302.0
30761,166620,lick,ra32.30,2448789.9696,-6.05,8.593184,-1,35620.0
30762,166620,lick,ra50.19,2448906.6547,22.76,8.236086,-1,77460.0
30763,166620,lick,ra65.22,2449123.8713,-9.44,14.713673,-1,10057.0
30764,166620,lick,ra65.23,2449123.8928,3.37,12.399945,-1,10305.0
30765,166620,lick,ra65.24,2449123.9143,5.70,11.476298,-1,10702.0
30766,166620,lick,ra67.24,2449171.8104,-16.02,9.11913,-1,107883.0
30767,166620,lick,ra68.28,2449172.7794,-12.98,7.631522,-1,81505.0
30768,166620,lick,ra68.29,2449172.7866,-15.59,7.92002,-1,65540.0
30769,166620,lick,ra68.34,2449172.8145,-14.57,8.242138,-1,58831.0
30770,166620,lick,ra68.35,2449172.8208,-14.90,8.675783,-1,59381.0
30771,166620,lick,ra89.51,2449470.0303,12.02,7.896679,-1,78972.0
30772,166620,lick,ra97.17,2449603.6962,12.64,10.833467,-1,18427.0
30773,166620,lick,ra97.18,2449603.7177,14.56,10.952909,-1,18464.0
30774,166620,lick,rb01.15,2449623.6565,10.60,10.250557,-1,83027.0
30775,166620,lick,rb21.30,2449913.877373,5.30,3.588263,-1,40665.0
30776,166620,lick,rb47.59,2450263.801758,3.44,3.132053,-1,36028.0
30777,166620,lick,rb48.15,2450298.735352,5.88,3.863019,-1,15204.0
30778,166620,lick,rb48.16,2450298.750977,12.01,3.355156,-1,18289.0
30779,166620,lick,rb49.17,2450304.738281,15.00,3.29186,-1,28660.0
30780,166620,lick,rb49.18,2450304.753906,2.64,3.17222,-1,31635.0
30781,166620,lick,rb50.61,2450326.719727,-3.88,2.77251,-1,35286.0
30782,166620,lick,rb50.62,2450326.734375,-4.49,2.658279,-1,48714.0
30783,166620,lick,rb59.31,2450610.958008,5.92,3.808577,-1,19850.0
30784,166620,lick,rb59.144,2450614.879883,-0.85,3.781088,-1,17335.0
30785,166620,lick,rb60.30,2450640.884766,3.80,3.6321,-1,19486.0
30786,166620,lick,rb62.81,2450656.824219,6.30,2.979149,-1,27739.0
30787,166620,lick,rb63.16,2450681.766602,3.79,3.013558,-1,17298.0
30788,166620,lick,rb69.12,2450976.908203,-8.04,7.118698,-1,6907.0
30789,166620,lick,rb69.13,2450976.924805,9.61,10.765738,-1,4238.0
30790,166620,lick,rb70.130,2451005.859375,1.20,5.338689,-1,19621.0
30791,166620,lick,rb90.19,2451362.832031,3.64,4.69769,-1,28276.0
30792,166620,lick,rb91.52,2451378.80957,15.29,5.47653,-1,11675.0
30793,166620,lick,rb97.125,2451446.631836,3.41,5.267046,-1,16995.0
30794,166620,lick,rd12.92,2451751.780273,14.14,4.053851,-1,41281.0
30795,166620,lick,rd49.68,2452076.857422,14.26,4.480576,-1,41958.0
30796,166620,lick,rd55.172,2452129.741211,-3.45,5.722178,-1,11931.0
30797,166620,lick,rd55.173,2452129.771484,-7.52,6.159615,-1,12247.0
30798,166620,lick,rd56.21,2452132.763672,-2.61,6.045113,-1,10303.0
30799,166620,lick,rd56.22,2452132.792969,-10.08,6.002089,-1,9917.0
30800,166620,lick,rd56.96,2452136.711914,5.74,5.806156,-1,11422.0
30801,166620,lick,rd56.97,2452136.741211,-12.74,5.828233,-1,11449.0
30802,166620,lick,rd57.65,2452141.74707,-2.43,5.639599,-1,13217.0
30803,166620,lick,rd57.66,2452141.776367,10.04,5.359757,-1,12517.0
30804,166620,lick,rd58.11,2452143.675781,-10.93,6.189333,-1,10507.0
30805,166620,lick,rd58.12,2452143.705078,-3.14,6.794074,-1,10409.0
30806,166620,lick,rd58.81,2452145.672852,2.20,9.616867,-1,5216.0
30807,166620,lick,rd58.82,2452145.704102,1.22,9.318976,-1,4861.0
30808,166620,lick,rd59.14,2452157.672852,6.54,4.245477,-1,32549.0
30809,166620,lick,rd59.135,2452159.666992,8.28,4.110638,-1,43031.0
30810,166620,lick,rd59.210,2452160.681641,-6.88,4.078481,-1,50779.0
30811,166620,lick,rd60.11,2452167.636719,3.77,5.151769,-1,10319.0
30812,166620,lick,rd60.12,2452167.666992,-13.28,6.356238,-1,10185.0
30813,166620,lick,rd60.123,2452170.641602,-4.51,6.64175,-1,9636.0
30814,166620,lick,rd60.124,2452170.671875,-5.44,6.550456,-1,9684.0
