Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
46511,19373,apf,raad.138,2456515.924727,-1.80,2.396931,-1,31433.0
46512,19373,apf,raae.138,2456516.951502,-3.98,2.399338,-1,31101.0
46513,19373,apf,raaf.129,2456517.844644,-4.28,2.39709,-1,29971.0
46514,19373,apf,raag.134,2456518.88318,-5.23,2.273183,-1,30434.0
46515,19373,apf,raah.129,2456525.866337,-7.41,2.371732,-1,32223.0
46516,19373,apf,raaj.127,2456530.930202,-7.98,2.550318,-1,29816.0
46517,19373,apf,raak.128,2456534.868855,-4.00,2.410004,-1,29866.0
46518,19373,apf,raal.130,2456535.884877,-2.84,2.640312,-1,30662.0
46519,19373,apf,raan.164,2456539.929878,-0.09,2.596202,-1,30825.0
46520,19373,apf,raao.148,2456540.927147,-6.74,2.3393,-1,31686.0
46521,19373,apf,raap.182,2456542.035652,-1.54,2.313893,-1,33379.0
46522,19373,apf,raaq.196,2456543.03093,3.83,2.347434,-1,29669.0
46523,19373,apf,raar.148,2456548.030001,8.38,2.970807,-1,34927.0
46524,19373,apf,raas.132,2456548.961382,0.57,2.89716,-1,43112.0
46525,19373,apf,raat.181,2456562.821438,3.41,3.012105,-1,12934.0
46526,19373,apf,raat.194,2456562.879764,8.48,2.797016,-1,12991.0
46527,19373,apf,raat.205,2456562.940092,-3.48,2.96243,-1,13656.0
46528,19373,apf,raat.213,2456563.000015,-0.99,3.103993,-1,12583.0
46529,19373,apf,raat.219,2456563.027784,-6.91,2.767413,-1,12788.0
46530,19373,apf,raau.195,2456563.823857,1.71,2.933833,-1,12241.0
46531,19373,apf,raau.204,2456563.871499,7.22,3.176077,-1,12158.0
46532,19373,apf,raau.216,2456563.937487,5.67,3.440272,-1,11436.0
46533,19373,apf,raau.228,2456564.00667,7.29,3.515329,-1,11197.0
46534,19373,apf,raax.207,2456570.980387,8.85,3.062703,-1,11295.0
46535,19373,apf,raax.223,2456571.053123,6.06,3.100797,-1,11698.0
46536,19373,apf,raay.202,2456573.858153,1.39,2.841267,-1,11496.0
