Name,JD,RVel,e_RVel,SNR,Dewar
78366,2447847.0579,24.6,12.8,228.0,8
78366,2448017.71066,15.33,13.26,222.0,8
78366,2448375.6987,4.49,12.94,305.0,8
78366,2448646.0334,-35.55,18.35,274.0,8
78366,2448906.0485,-13.6,11.68,260.0,8
78366,2448991.9957,-58.02,15.93,300.0,8
78366,2448992.9229,-63.22,15.24,369.0,8
78366,2449114.7465,-3.89,14.1,233.0,8
78366,2449307.05115,12.55,11.78,179.0,8
78366,2449349.8568,-19.75,15.19,254.0,8
78366,2449350.9422,-31.56,14.34,284.0,8
78366,2449469.6665,16.18,13.11,254.0,8
78366,2449681.0125,7.04,5.71,176.0,13
78366,2449767.83433,29.42,2.94,127.0,13
78366,2449793.81055,7.19,2.8,225.0,13
78366,2450033.98257,-0.1,2.9,116.0,13
78366,2450088.93555,1.82,2.96,175.0,13
78366,2450144.74341,10.72,2.75,160.0,13
78366,2450181.69365,-14.88,2.04,238.0,13
78366,2450437.95996,14.29,2.8,199.0,13
78366,2450502.80176,-15.59,2.99,149.0,13
78366,2451133.0332,5.75,5.37,83.0,6
78366,2453148.729,-22.87,2.02,176.0,8
78366,2453385.9151,-7.56,2.93,126.0,8
78366,2453867.70363,-7.98,2.99,190.0,8
78366,2453868.69402,4.19,2.89,171.0,8
78366,2454100.02659,-19.49,3.0,146.0,8
78366,2454102.95808,-23.05,2.93,154.0,8
78366,2454103.90474,-20.15,2.85,157.0,8
