,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
0,88230,2454085.02529,-7.14,0.95,1.4707,-1,0.04543,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
1,88230,2454085.02678,-9.39,0.94,1.4556,-1,0.04549,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
2,88230,2454085.02821,-6.32,0.91,1.4648,-1,0.04543,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
3,88230,2454086.11087,-2.39,0.93,1.4529,-1,0.04536,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
4,88230,2454086.11245,-1.72,0.9,1.441,-1,0.04535,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
5,88230,2454086.11404,-1.34,0.91,1.4585,-1,0.04533,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
6,88230,2454130.98675,1.17,0.9,1.4548,-1,0.04574,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
7,88230,2454130.98841,1.1,1.04,1.4661,-1,0.04574,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
8,88230,2454130.98986,-3.88,0.98,1.476,-1,0.04577,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
9,88230,2454131.88619,0.86,1.06,1.581,-1,0.04668,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
10,88230,2454131.88873,1.11,1.02,1.5522,-1,0.04663,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
11,88230,2454131.89102,-2.47,0.96,1.5262,-1,0.04652,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
12,88230,2454641.76546,7.81,1.09,1.5501,-1,0.04612,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
13,88230,2455014.75574,0.98,1.0,1.5232,-1,0.04577,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
14,88230,2455015.74271,-3.88,0.97,1.549,-1,0.04654,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
15,88230,2455016.79708,0.14,0.87,1.7892,-1,0.04632,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
16,88230,2455543.16809,8.3,1.0,1.6932,-1,0.04806,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
