Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
8195,11964a,k,rk7.80,2450365.979236,-2.83,0.987228,-1,405368.0
8196,11964a,k,rk15.122,2450715.080012,-4.77,1.098123,-1,177910.0
8197,11964a,k,rk16.224,2450786.759306,3.14,1.29692,-1,144870.0
8198,11964a,k,rk17.191,2450806.886343,-2.44,0.956352,-1,97089.0
8199,11964a,k,rk22.85,2451010.115556,6.19,1.00678,-1,118340.0
8200,11964a,k,rk22.213,2451012.08544,7.53,0.958374,-1,156704.0
8201,11964a,k,rk22.354,2451013.103947,5.81,1.126696,-1,131462.0
8202,11964a,k,rk22.485,2451014.105914,7.04,1.07825,-1,115588.0
8203,11964a,k,rk25.333,2451070.992361,4.50,1.313347,-1,171120.0
8204,11964a,k,rk27.40,2451170.793657,7.14,1.10462,-1,150737.0
8205,11964a,k,rk32.1124,2451374.123206,2.64,1.04042,-1,71118.0
8206,11964a,k,rk33.425,2451412.084051,6.72,1.259744,-1,76044.0
8207,11964a,k,rk37.50,2451543.835648,7.17,5.182979,-1,66966.0
8208,11964a,k,rk39.591,2451585.736539,19.49,1.062958,-1,103522.0
8209,11964a,k,rk43.246,2451757.13662,-2.06,1.047499,-1,106985.0
8210,11964a,k,rk46.182,2451883.801736,4.79,1.357288,-1,77381.0
8211,11964a,k,rk54.487,2452098.097419,-7.76,1.126051,-1,85293.0
8212,11964a,k,rk55.577,2452134.022928,-12.89,1.244147,-1,85001.0
8213,11964a,k,rk56.274,2452162.926852,-3.07,1.271019,-1,104820.0
8214,11964a,k,rk57.31,2452188.010926,-3.08,1.196577,-1,82386.0
8215,11964a,k,rk58.119,2452218.947315,-9.81,1.205739,-1,135437.0
8216,11964a,k,rk59.38,2452235.761655,-2.75,1.213766,-1,95034.0
8217,11964a,k,rk65.423,2452489.047558,-9.65,1.001813,-1,95322.0
8218,11964a,k,rk66.294,2452516.010463,-12.55,1.2005,-1,108904.0
8219,11964a,k,rk67.85,2452535.910926,0.33,1.300402,-1,90129.0
8220,11964a,k,rk68.70,2452572.946597,-2.97,1.379639,-1,107424.0
8221,11964a,k,rk69.83,2452600.927569,-5.89,1.360767,-1,101607.0
8222,11964a,k,rk70.43,2452651.762963,-3.83,1.055513,-1,109707.0
8223,11964a,k,rk75.497,2452833.093715,2.22,1.176542,-1,102087.0
8224,11964a,k,rk75.707,2452834.12772,7.97,1.203434,-1,98482.0
8225,11964a,k,rk75.915,2452835.121528,2.86,1.399204,-1,99454.0
8226,11964a,k,rk75.1059,2452836.075405,3.55,1.162984,-1,97072.0
8227,11964a,k,rk76.273,2452850.087384,-0.15,1.099164,-1,110947.0
8228,11964a,k,rk76.484,2452851.131667,1.36,1.130089,-1,109078.0
8229,11964a,k,rk77.26,2452854.03162,3.22,1.286072,-1,99259.0
8230,11964a,k,rk77.126,2452855.114792,1.96,1.371517,-1,100310.0
8231,11964a,k,rk77.233,2452856.061181,1.55,1.309352,-1,99462.0
8232,11964a,k,rk78.83,2452897.920671,2.69,1.206943,-1,105589.0
8233,11964a,k,rk78.268,2452899.035324,-2.47,1.244243,-1,107058.0
8234,11964a,k,rk79.162,2452924.926863,7.82,1.264536,-1,106004.0
8235,11964a,k,rk79.331,2452926.058322,3.77,1.27626,-1,100067.0
8236,11964a,k,rk80.28,2452987.739282,14.89,1.3284,-1,108470.0
8237,11964a,k,rk80.231,2452988.761852,9.87,1.276009,-1,110747.0
8238,11964a,k,rk80.448,2452989.78125,8.20,1.313221,-1,112173.0
8239,11964a,k,rk81.46,2453014.741285,2.92,1.383411,-1,102690.0
8240,11964a,k,rk81.47,2453014.742801,4.14,1.155931,-1,97926.0
8241,11964a,k,rk81.343,2453015.745312,7.02,1.159689,-1,112758.0
8242,11964a,k,rk81.344,2453015.747037,4.15,1.036381,-1,112059.0
8243,11964a,k,rk81.630,2453016.749456,9.06,1.03313,-1,112404.0
8244,11964a,k,rk81.631,2453016.751076,9.39,1.197998,-1,112226.0
8245,11964a,k,rk81.939,2453017.764653,3.55,1.010595,-1,108950.0
8246,11964a,k,rk81.940,2453017.766539,2.75,1.231883,-1,108431.0
8247,11964a,k,rk84.219,2453072.714583,13.09,1.361609,-1,105807.0
8248,11964a,k,rk84.220,2453072.716991,10.38,1.516404,-1,105844.0
8249,11964a,k,rk86.103,2453180.129491,11.34,1.128127,-1,106873.0
8250,11964a,k,rk86.310,2453181.124873,15.92,1.309653,-1,100183.0
8251,11964a,k,rk86.519,2453182.120243,10.27,1.134621,-1,100829.0
8252,11964a,k,rk87.214,2453190.126088,10.51,1.080193,-1,100349.0
8253,11964a,k,rk87.215,2453190.127743,10.39,1.068547,-1,99577.0
8254,11964a,k,rk87.216,2453190.129352,15.43,1.149774,-1,101292.0
8255,11964a,k,rk87.438,2453191.125741,11.74,1.061963,-1,101071.0
8256,11964a,k,rk87.439,2453191.127338,12.61,1.053713,-1,103683.0
8257,11964a,k,rk88.127,2453196.114144,-0.24,1.270082,-1,99960.0
8258,11964a,k,rk88.325,2453197.125012,1.97,1.122922,-1,87775.0
8259,11964a,k,rk88.326,2453197.126655,-10.24,1.325937,-1,89424.0
8260,11964a,k,rk89.82,2453207.11772,6.98,1.344572,-1,87883.0
8261,11964a,k,rk89.286,2453208.123322,11.33,1.19973,-1,86922.0
