Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
34389,178911b,k,rk31.143,2451341.972222,349.84,1.425601,-1,43417.0
34390,178911b,k,rk32.324,2451369.915775,-169.23,1.382412,-1,50018.0
34391,178911b,k,rk32.840,2451372.890706,-248.55,1.110159,-1,68117.0
34392,178911b,k,rk32.1011,2451373.807905,-262.35,1.399413,-1,53565.0
34393,178911b,k,rk33.328,2451411.81088,331.17,1.135269,-1,101952.0
34394,178911b,k,rk41.457,2451706.054363,339.72,1.48879,-1,38651.0
34395,178911b,k,rk53.54,2452062.016215,347.24,2.522672,-1,15559.0
34396,178911b,k,rk55.256,2452128.891563,348.32,1.226262,-1,85446.0
34397,178911b,k,rk64.183,2452446.970984,-281.45,1.224542,-1,108544.0
34398,178911b,k,rk66.246,2452515.819479,-201.51,1.624159,-1,88585.0
34399,178911b,k,rk74.297,2452805.089907,-303.27,1.128304,-1,99842.0
34400,178911b,k,rk76.242,2452849.928738,344.90,1.41651,-1,72192.0
34401,178911b,k,rk86.87,2453180.057662,-62.07,1.172762,-1,105667.0
