Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
104280,210460,j,rj03.145,2453338.700521,12.56,1.38821,0.258,83226.0
104281,210460,j,rj11.981,2453604.943183,38.24,1.214676,0.267,98815.0
104282,210460,j,rj24.274,2454023.889016,-0.32,1.409491,0.252,70863.0
104283,210460,j,rj82.67,2455196.682921,24.43,1.496986,0.25,44591.0
104284,210460,j,rj120.1142,2455708.075118,1.63,1.436448,0.24,48651.0
104285,210460,j,rj130.68,2455785.988133,-15.63,1.293264,0.225,46963.0
104286,210460,j,rj189.2078,2456853.097598,-14.46,1.364594,0.2209,48108.0
104287,210460,j,rj202.524,2457209.027998,-20.92,1.22494,0.2139,47810.0
104288,210460,j,rj204.833,2457232.946406,-16.86,1.427689,0.2181,49090.0
104289,210460,j,rj305.997,2458389.993806,-18.98,1.746221,0.22,25020.0
