Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
53866,217014,lick,rb26.11,2450002.65625,-38.58,6.145618,-1,9863.0
53867,217014,lick,rb26.12,2450002.668945,-37.75,3.94222,-1,27607.0
53868,217014,lick,rb26.13,2450002.68457,-35.90,3.947607,-1,28681.0
53869,217014,lick,rb26.19,2450002.799805,-45.77,3.895485,-1,25121.0
53870,217014,lick,rb26.20,2450002.816406,-51.41,3.99741,-1,23848.0
53871,217014,lick,rb26.35,2450002.955078,-49.94,4.64433,-1,20952.0
53872,217014,lick,rb26.36,2450002.96875,-52.77,5.200614,-1,10889.0
53873,217014,lick,rb26.63,2450003.611328,-17.59,3.722692,-1,24855.0
53874,217014,lick,rb26.64,2450003.626953,-24.13,3.544277,-1,26218.0
53875,217014,lick,rb26.65,2450003.642578,-17.60,3.985494,-1,23789.0
53876,217014,lick,rb26.69,2450003.716797,-11.62,3.711232,-1,34700.0
53877,217014,lick,rb26.70,2450003.732422,-12.17,3.44142,-1,42122.0
53878,217014,lick,rb26.71,2450003.74707,-9.73,3.348413,-1,34886.0
53879,217014,lick,rb26.80,2450003.886719,-0.41,3.757949,-1,34050.0
53880,217014,lick,rb26.81,2450003.902344,-0.54,3.947929,-1,27061.0
53881,217014,lick,rb26.82,2450003.916992,4.76,4.460912,-1,17394.0
53882,217014,lick,rb26.109,2450004.595703,51.62,3.083314,-1,58856.0
53883,217014,lick,rb26.110,2450004.607422,56.07,3.211063,-1,59193.0
53884,217014,lick,rb26.111,2450004.619141,54.45,3.291355,-1,63755.0
53885,217014,lick,rb26.120,2450004.779297,58.40,2.944624,-1,82594.0
53886,217014,lick,rb26.121,2450004.791016,58.25,2.768512,-1,89106.0
53887,217014,lick,rb26.128,2450004.902344,58.16,3.51808,-1,47210.0
53888,217014,lick,rb26.129,2450004.913086,58.29,3.892354,-1,35200.0
53889,217014,lick,rb26.165,2450005.598633,49.93,2.921814,-1,63948.0
53890,217014,lick,rb26.166,2450005.610352,45.54,2.885927,-1,77998.0
53891,217014,lick,rb26.185,2450005.917969,25.49,3.579342,-1,34008.0
53892,217014,lick,rb26.186,2450005.931641,18.43,3.740533,-1,34828.0
53893,217014,lick,rb27.11,2450011.630859,-44.27,5.285561,-1,10969.0
53894,217014,lick,rb27.12,2450011.65625,-47.42,4.586408,-1,11888.0
53895,217014,lick,rb27.19,2450011.826172,-28.80,4.819471,-1,11220.0
53896,217014,lick,rb27.20,2450011.848633,-45.66,5.090399,-1,11042.0
53897,217014,lick,rb27.48,2450012.625,29.25,5.453395,-1,10272.0
53898,217014,lick,rb27.49,2450012.647461,25.86,5.300024,-1,9962.0
53899,217014,lick,rb27.57,2450012.857422,32.71,6.192734,-1,7963.0
53900,217014,lick,rb27.58,2450012.879883,31.20,8.01073,-1,5782.0
53901,217014,lick,rb27.86,2450013.612305,61.43,5.242946,-1,10386.0
53902,217014,lick,rb27.87,2450013.635742,64.22,5.520894,-1,10518.0
53903,217014,lick,rb27.95,2450013.823242,62.27,5.70023,-1,9419.0
53904,217014,lick,rb27.96,2450013.842773,60.01,7.730154,-1,5117.0
53905,217014,lick,rb28.11,2450021.604492,52.71,4.798572,-1,10224.0
53906,217014,lick,rb28.12,2450021.626953,66.38,4.393443,-1,11332.0
53907,217014,lick,rb28.13,2450021.649414,63.14,4.995004,-1,9693.0
53908,217014,lick,rb28.14,2450021.672852,50.27,4.491383,-1,10917.0
53909,217014,lick,rb28.15,2450021.698242,65.24,4.963862,-1,8351.0
53910,217014,lick,rb28.16,2450021.72168,63.69,7.61761,-1,4133.0
53911,217014,lick,rb28.17,2450021.745117,57.30,8.82115,-1,3467.0
53912,217014,lick,rb28.42,2450023.587891,-35.69,5.589138,-1,8890.0
53913,217014,lick,rb28.43,2450023.610352,-32.14,5.277671,-1,9834.0
53914,217014,lick,rb28.44,2450023.632812,-29.57,5.47297,-1,10421.0
53915,217014,lick,rb28.45,2450023.65625,-34.54,4.978573,-1,10460.0
53916,217014,lick,rb28.46,2450023.678711,-29.05,5.201979,-1,10962.0
53917,217014,lick,rb28.47,2450023.701172,-34.22,4.714496,-1,9991.0
53918,217014,lick,rb28.48,2450023.725586,-39.76,5.318194,-1,9296.0
53919,217014,lick,rb28.61,2450024.629883,-32.38,3.151546,-1,58911.0
53920,217014,lick,rb28.62,2450024.648438,-36.33,3.294848,-1,63223.0
53921,217014,lick,rb28.65,2450024.717773,-32.70,3.663671,-1,39973.0
53922,217014,lick,rb28.66,2450024.733398,-25.36,3.579951,-1,42671.0
53923,217014,lick,rb28.69,2450024.80957,-27.96,4.277286,-1,23158.0
53924,217014,lick,rb28.70,2450024.824219,-16.12,4.43993,-1,22538.0
53925,217014,lick,rb28.99,2450025.609375,48.54,5.087249,-1,10281.0
53926,217014,lick,rb28.100,2450025.632812,42.13,5.000811,-1,11613.0
53927,217014,lick,rb28.103,2450025.704102,52.11,4.931123,-1,10522.0
53928,217014,lick,rb28.104,2450025.726562,55.52,4.691573,-1,10388.0
53929,217014,lick,rb28.105,2450025.75,55.08,5.2092,-1,11209.0
53930,217014,lick,rb28.106,2450025.772461,59.68,4.827833,-1,10816.0
53931,217014,lick,rb28.139,2450026.601562,66.05,8.730056,-1,3477.0
53932,217014,lick,rb28.140,2450026.62207,72.35,5.276,-1,8761.0
53933,217014,lick,rb28.141,2450026.644531,65.17,5.286398,-1,7520.0
53934,217014,lick,rb28.142,2450026.667969,76.87,8.184306,-1,3983.0
53935,217014,lick,rb28.143,2450026.69043,71.89,6.57518,-1,5192.0
53936,217014,lick,rb28.144,2450026.713867,59.34,6.585563,-1,5748.0
53937,217014,lick,rb28.145,2450026.736328,54.61,5.284264,-1,8347.0
53938,217014,lick,rb28.159,2450027.636719,-15.44,4.619934,-1,12118.0
53939,217014,lick,rb28.160,2450027.658203,-14.00,4.646576,-1,11314.0
53940,217014,lick,rb28.161,2450027.683594,-27.45,5.397367,-1,8597.0
53941,217014,lick,rb28.162,2450027.701172,-31.20,7.941673,-1,4713.0
53942,217014,lick,rb28.163,2450027.728516,-30.16,5.689498,-1,8844.0
53943,217014,lick,rb28.164,2450027.75,-28.54,5.137271,-1,10157.0
53944,217014,lick,rb28.165,2450027.772461,-23.13,5.072033,-1,10672.0
53945,217014,lick,rb28.181,2450028.594727,-35.81,4.548788,-1,11789.0
53946,217014,lick,rb28.182,2450028.618164,-39.61,4.60452,-1,11400.0
53947,217014,lick,rb28.183,2450028.643555,-30.24,4.783028,-1,11499.0
53948,217014,lick,rb28.184,2450028.666016,-33.14,4.546904,-1,11393.0
53949,217014,lick,rb28.185,2450028.689453,-33.82,4.656941,-1,11492.0
53950,217014,lick,rb28.186,2450028.711914,-37.91,4.313431,-1,11526.0
53951,217014,lick,rb28.187,2450028.734375,-40.71,5.024806,-1,11323.0
53952,217014,lick,rb28.188,2450028.756836,-30.90,4.947054,-1,10861.0
53953,217014,lick,rb28.189,2450028.780273,-27.10,4.738275,-1,10535.0
53954,217014,lick,rb28.201,2450029.59668,19.65,4.387221,-1,11439.0
53955,217014,lick,rb28.202,2450029.619141,26.49,4.181395,-1,11887.0
53956,217014,lick,rb28.205,2450029.688477,38.80,4.616449,-1,11858.0
53957,217014,lick,rb28.206,2450029.710938,31.47,4.882552,-1,11256.0
53958,217014,lick,rb28.207,2450029.734375,40.16,4.770781,-1,10611.0
53959,217014,lick,rb28.208,2450029.757812,40.85,4.921748,-1,11092.0
