Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
70147,38b,j,rj01.453,2453239.053576,9.96,1.18088,1.81,66833.0
70148,38b,j,rj19.277,2453926.099028,8.88,0.847788,1.62,87968.0
70149,38b,j,rj19.1027,2453928.007222,13.74,0.780633,1.81,92878.0
70150,38b,j,rj23.206,2453981.947546,-4.75,0.979551,1.56,107807.0
70151,38b,j,rj41.249,2454305.129421,-2.86,0.790145,1.61,83163.0
70152,38b,j,rj41.631,2454306.079942,1.17,0.796879,1.63,82323.0
70153,38b,j,rj41.1021,2454307.06897,1.87,0.733324,1.62,82739.0
70154,38b,j,rj41.1446,2454308.11235,4.24,0.779248,1.68,82033.0
70155,38b,j,rj41.1820,2454309.098623,9.26,0.791757,1.69,80221.0
70156,38b,j,rj41.2234,2454310.098565,11.61,0.849111,1.74,66207.0
70157,38b,j,rj41.2632,2454311.076227,7.63,0.767318,1.79,82032.0
70158,38b,j,rj41.3033,2454312.072685,4.52,0.814496,1.8,81064.0
70159,38b,j,rj41.3428,2454313.062512,-0.02,0.750708,1.8,76802.0
70160,38b,j,rj41.3838,2454314.058993,-5.73,0.754575,1.79,81633.0
70161,38b,j,rj41.4227,2454315.097164,-6.07,0.775647,1.69,82129.0
70162,38b,j,rj43.4205,2454339.091817,0.97,0.98331,1.82,81863.0
70163,38b,j,rj47.747,2454398.888935,16.92,1.32715,1.71,32583.0
70164,38b,j,rj59.472,2454719.043044,-5.71,1.126681,1.7,50560.0
70165,38b,j,rj96.429,2455412.099901,-5.76,0.810754,1.83,54384.0
70166,38b,j,rj855.119,2455515.931486,-13.19,1.110112,1.778,86114.0
70167,38b,j,rj863.134,2455579.7964,2.40,1.206277,1.745,46250.0
70168,38b,j,rj137.227,2455878.874499,-6.02,1.245493,1.95,54310.0
70169,38b,j,rj157.303,2456165.085198,-5.29,1.217307,1.79,27301.0
70170,38b,j,rj194.554,2456909.12779,-21.20,1.323587,1.754,26440.0
70171,38b,j,rj302.91,2458364.026802,-22.53,1.313602,1.691,27501.0
