Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
87135,92788,k,rk38.246,2451552.105602,-2.51,1.239176,-1,96886.0
87136,92788,k,rk38.365,2451553.033657,-0.69,1.326208,-1,62387.0
87137,92788,k,rk39.205,2451581.979259,-38.96,1.283381,-1,107088.0
87138,92788,k,rk39.319,2451582.968634,-36.63,1.092738,-1,140152.0
87139,92788,k,rk39.443,2451583.942222,-30.12,1.120043,-1,135186.0
87140,92788,k,rk39.529,2451584.988333,-32.45,1.486052,-1,62358.0
87141,92788,k,rk39.530,2451584.993681,-32.39,1.354773,-1,67604.0
87142,92788,k,rk39.646,2451585.961655,-38.37,1.285331,-1,88627.0
87143,92788,k,rk40.21,2451678.909676,-118.74,1.319725,-1,79412.0
87144,92788,k,rk41.105,2451703.79581,-104.90,1.316126,-1,61969.0
87145,92788,k,rk41.404,2451705.795509,-108.22,1.4166,-1,85178.0
87146,92788,k,rk41.604,2451706.792164,-102.93,1.259597,-1,85147.0
87147,92788,k,rk43.141,2451755.730162,-66.29,15.365779,-1,48333.0
87148,92788,k,rk43.142,2451755.736736,74.26,1.835629,-1,67831.0
87149,92788,k,rk46.127,2451883.150961,-18.17,1.40159,-1,78208.0
87150,92788,k,rk47.147,2451898.14191,-21.10,1.289007,-1,79477.0
87151,92788,k,rk48.67,2451972.060382,-101.24,1.259463,-1,103287.0
87152,92788,k,rk48.69,2451972.071852,-99.02,1.217849,-1,103921.0
87153,92788,k,rk48.241,2451973.995475,-104.65,1.23217,-1,103159.0
87154,92788,k,rk49.33,2451981.970278,-109.88,1.143533,-1,154272.0
87155,92788,k,rk50.21,2452002.946296,-123.02,1.470893,-1,106324.0
87156,92788,k,rk51.264,2452007.935764,-122.08,1.394918,-1,94346.0
87157,92788,k,rk52.20,2452030.876308,-109.20,1.539177,-1,56194.0
87158,92788,k,rk53.332,2452064.806157,1.55,1.232536,-1,96613.0
87159,92788,k,rk60.114,2452307.97125,-107.28,1.503012,-1,89065.0
87160,92788,k,rk69.147,2452601.142639,-80.42,1.335278,-1,100428.0
87161,92788,k,rk71.134,2452682.995648,-107.99,1.539947,-1,94605.0
87162,92788,k,rk81.803,2453017.165741,-90.46,1.397983,-1,111269.0
