Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
93580,99491,apf,rabk.257,2456598.063532,3.09,2.322356,-1,9811.0
93581,99491,apf,raby.214,2456631.92675,-5.57,2.691219,-1,13463.0
93582,99491,apf,rabz.252,2456632.946354,12.13,2.015083,-1,14165.0
93583,99491,apf,racf.272,2456663.044763,16.17,1.86356,-1,22763.0
93584,99491,apf,rack.204,2456672.035574,-0.70,2.056906,-1,23306.0
93585,99491,apf,radb.213,2456724.965131,5.12,2.44028,-1,13960.0
93586,99491,apf,rade.208,2456731.833361,-1.19,2.554675,-1,10257.0
93587,99491,apf,radg.201,2456735.893851,-0.85,2.480717,-1,10690.0
93588,99491,apf,radm.125,2456754.868525,-9.46,2.188209,-1,18298.0
93589,99491,apf,radv.183,2456777.682174,2.59,2.558811,-1,10717.0
93590,99491,apf,raim.191,2457123.819505,4.01,2.423939,-1,9065.0
93591,99491,apf,rain.222,2457124.833345,-0.40,2.573149,-1,8448.0
93592,99491,apf,raip.225,2457127.770463,-4.32,2.988023,-1,5961.0
93593,99491,apf,raiq.218,2457130.789994,1.26,2.362468,-1,8878.0
93594,99491,apf,raiq.223,2457130.800526,2.13,2.562374,-1,9093.0
93595,99491,apf,raiv.195,2457138.770569,-2.25,3.445312,-1,4753.0
93596,99491,apf,raiy.199,2457143.730136,-1.11,2.37548,-1,8166.0
93597,99491,apf,raph.216,2457496.805876,-4.05,2.332036,-1,8362.0
93598,99491,apf,ratg.197,2457695.003482,-13.54,2.502273,-1,8376.0
93599,99491,apf,ratp.326,2457708.020563,-11.35,2.736688,-1,7150.0
93600,99491,apf,rbcc.349,2458115.968137,-10.71,2.947236,-1,6224.0
