HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD125072,2453051.81998,3.17,0.92,HARPS-Pre,0.4882,0.0067,-1.0000,-1.0000,2004-02-16T07:37:59
HD125072,2453060.85790,5.18,0.96,HARPS-Pre,0.5183,0.0046,-1.0000,-1.0000,2004-02-25T08:30:14
HD125072,2453816.77206,-0.17,0.83,HARPS-Pre,0.5147,0.002,-1.0000,-1.0000,2006-03-22T06:19:45
HD125072,2454548.80308,3.54,0.87,HARPS-Pre,0.3377,0.002,-1.0000,-1.0000,2008-03-23T07:04:59
HD125072,2454550.80197,0.73,0.78,HARPS-Pre,0.3308,0.002,-1.0000,-1.0000,2008-03-25T07:03:21
HD125072,2454552.77072,-1.59,0.68,HARPS-Pre,0.3340,0.0018,-1.0000,-1.0000,2008-03-27T06:18:27
HD125072,2454553.75058,-1.75,0.89,HARPS-Pre,0.3324,0.0019,-1.0000,-1.0000,2008-03-28T05:49:14
HD125072,2454554.77943,-2.14,0.67,HARPS-Pre,0.3234,0.0033,-1.0000,-1.0000,2008-03-29T06:33:46
HD125072,2454554.78438,-2.41,0.66,HARPS-Pre,0.3365,0.0033,-1.0000,-1.0000,2008-03-29T06:40:58
HD125072,2454555.79644,-2.77,0.49,HARPS-Pre,0.3266,0.0026,-1.0000,-1.0000,2008-03-30T06:58:22
HD125072,2454555.80149,-2.19,0.49,HARPS-Pre,0.3326,0.0023,-1.0000,-1.0000,2008-03-30T07:05:35
HD125072,2454556.74386,-2.15,0.69,HARPS-Pre,0.3334,0.0035,-1.0000,-1.0000,2008-03-31T05:42:48
HD125072,2454556.74928,-1.20,0.69,HARPS-Pre,0.3195,0.0033,-1.0000,-1.0000,2008-03-31T05:50:00
HD125072,2454557.74797,-2.11,0.81,HARPS-Pre,0.3209,0.0041,-1.0000,-1.0000,2008-04-01T05:48:22
HD125072,2454557.75288,-1.41,0.82,HARPS-Pre,0.3030,0.0044,-1.0000,-1.0000,2008-04-01T05:55:34
HD125072,2454562.77041,-1.67,0.50,HARPS-Pre,0.3097,0.0026,-1.0000,-1.0000,2008-04-06T06:20:18
HD125072,2454562.77578,-0.64,0.50,HARPS-Pre,0.1623,0.0053,-1.0000,-1.0000,2008-04-06T06:27:50
HD125072,2454563.72632,-1.37,0.57,HARPS-Pre,0.3205,0.0022,-1.0000,-1.0000,2008-04-07T05:17:12
HD125072,2454563.73089,-0.82,0.57,HARPS-Pre,0.3103,0.0024,-1.0000,-1.0000,2008-04-07T05:23:44
