HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD146233,2453483.18419,-11.04,1.62,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru73.72
HD146233,2453483.18841,-6.66,1.55,UCLES,-1.0000,-1.0000,0.7288,0.0021,ru73.73
HD146233,2453483.19264,-9.48,1.56,UCLES,-1.0000,-1.0000,0.7294,0.0021,ru73.74
HD146233,2453483.19686,-5.87,1.49,UCLES,-1.0000,-1.0000,0.7288,0.002,ru73.75
HD146233,2453517.10837,-9.34,1.63,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru75.243
HD146233,2453517.11434,-11.49,1.68,UCLES,-1.0000,-1.0000,0.7259,0.0026,ru75.244
HD146233,2453517.12031,-11.33,1.82,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru75.245
HD146233,2453517.12627,-13.23,1.72,UCLES,-1.0000,-1.0000,0.7288,0.0024,ru75.246
HD146233,2453568.04238,-2.03,1.45,UCLES,-1.0000,-1.0000,0.7260,0.0022,ru76.73
HD146233,2453568.04660,-6.20,1.36,UCLES,-1.0000,-1.0000,0.7296,0.002,ru76.74
HD146233,2453568.05084,-7.42,1.45,UCLES,-1.0000,-1.0000,0.7276,0.002,ru76.75
HD146233,2453568.05506,-6.47,1.33,UCLES,-1.0000,-1.0000,0.7308,0.002,ru76.76
HD146233,2453575.95080,-3.86,1.41,UCLES,-1.0000,-1.0000,0.7318,0.0019,ru76.2174
HD146233,2453575.95481,-6.25,1.37,UCLES,-1.0000,-1.0000,0.7352,0.0019,ru76.2175
HD146233,2453575.95881,-6.98,1.46,UCLES,-1.0000,-1.0000,0.7337,0.0019,ru76.2176
HD146233,2453575.96282,-7.31,1.44,UCLES,-1.0000,-1.0000,0.7328,0.002,ru76.2177
HD146233,2453841.22820,2.25,1.55,UCLES,-1.0000,-1.0000,0.7268,0.002,ru81.298
HD146233,2453841.23361,1.81,1.63,UCLES,-1.0000,-1.0000,0.7279,0.0019,ru81.299
HD146233,2453841.23903,2.91,1.65,UCLES,-1.0000,-1.0000,0.7263,0.0021,ru81.300
HD146233,2453841.24445,-0.50,1.87,UCLES,-1.0000,-1.0000,0.7267,0.0027,ru81.301
HD146233,2453938.01703,-0.65,1.69,UCLES,-1.0000,-1.0000,0.7267,0.0028,ru82.55
HD146233,2453938.02056,-9.85,1.83,UCLES,-1.0000,-1.0000,0.7202,0.003,ru82.56
HD146233,2453938.02410,1.18,1.79,UCLES,-1.0000,-1.0000,0.7240,0.0029,ru82.57
HD146233,2453938.02765,-0.78,1.80,UCLES,-1.0000,-1.0000,0.7250,0.0029,ru82.58
HD146233,2453942.95022,-1.17,1.38,UCLES,-1.0000,-1.0000,0.7225,0.0017,ru82.1055
HD146233,2453942.95793,-3.29,1.18,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru82.1056
HD146233,2453942.96506,-4.92,1.24,UCLES,-1.0000,-1.0000,0.7225,0.0019,ru82.1057
HD146233,2453942.97162,-0.48,1.21,UCLES,-1.0000,-1.0000,0.7231,0.0017,ru82.1058
HD146233,2454011.87624,-3.80,1.48,UCLES,-1.0000,-1.0000,0.7168,0.0021,ru83.864
HD146233,2454011.88702,-9.17,1.76,UCLES,-1.0000,-1.0000,0.7207,0.0025,ru83.866
HD146233,2454011.89240,-6.43,1.76,UCLES,-1.0000,-1.0000,0.7172,0.0026,ru83.867
HD146233,2454017.86683,-3.41,1.40,UCLES,-1.0000,-1.0000,0.7168,0.0019,ru83.2231
HD146233,2454017.87106,-3.37,1.30,UCLES,-1.0000,-1.0000,0.7200,0.0018,ru83.2232
HD146233,2454017.87531,-2.46,1.47,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru83.2233
HD146233,2454111.26531,-2.74,2.05,UCLES,-1.0000,-1.0000,0.7202,0.0024,ru86.194
HD146233,2454113.26747,-1.43,2.23,UCLES,-1.0000,-1.0000,0.7204,0.0026,ru86.1055
HD146233,2454119.26855,-8.51,2.04,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.2827
HD146233,2454119.27277,-9.91,2.08,UCLES,-1.0000,-1.0000,0.7190,0.0027,ru86.2828
HD146233,2454119.27699,0.60,2.00,UCLES,-1.0000,-1.0000,0.7202,0.0025,ru86.2829
HD146233,2454120.27235,-11.13,2.21,UCLES,-1.0000,-1.0000,0.7175,0.003,ru86.3204
HD146233,2454120.27656,-1.03,2.26,UCLES,-1.0000,-1.0000,0.7171,0.0028,ru86.3205
HD146233,2454120.28079,27.59,3.01,UCLES,-1.0000,-1.0000,0.7159,0.0028,ru86.3206
HD146233,2454121.26619,-7.62,3.26,UCLES,-1.0000,-1.0000,0.7177,0.0041,ru86.3542
HD146233,2454121.27100,-1.79,2.34,UCLES,-1.0000,-1.0000,0.7189,0.0032,ru86.3543
HD146233,2454121.27579,-1.97,2.38,UCLES,-1.0000,-1.0000,0.7171,0.0032,ru86.3544
HD146233,2454121.28057,31.52,3.35,UCLES,-1.0000,-1.0000,0.7160,0.0033,ru86.3545
