HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD196761,2450277.00590,7.18,1.27,HIRES-Pre,0.1783,2.6e-06,-1.0000,-1.0000,rk5.126
HD196761,2450365.74122,-2.50,1.48,HIRES-Pre,0.1609,6.1e-06,-1.0000,-1.0000,rk7.43
HD196761,2450603.06478,-1.46,1.23,HIRES-Pre,0.1693,2.9e-06,-1.0000,-1.0000,rk12.105
HD196761,2450665.94941,-11.63,1.40,HIRES-Pre,0.1837,3.8e-06,-1.0000,-1.0000,rk13.23
HD196761,2450713.83999,-13.73,1.25,HIRES-Pre,0.1847,2.6e-06,-1.0000,-1.0000,rk15.21
HD196761,2450957.07084,4.90,1.17,HIRES-Pre,0.1748,3e-06,-1.0000,-1.0000,rk20.285
HD196761,2451011.91963,-2.99,1.24,HIRES-Pre,0.1661,3.5e-06,-1.0000,-1.0000,rk22.179
HD196761,2451050.88409,-6.41,1.45,HIRES-Pre,0.1833,3.6e-06,-1.0000,-1.0000,rk24.53
HD196761,2451068.85424,-4.74,1.29,HIRES-Pre,0.1725,2.8e-06,-1.0000,-1.0000,rk25.47
HD196761,2451069.84405,-17.82,1.37,HIRES-Pre,0.1640,2.1e-06,-1.0000,-1.0000,rk25.161
HD196761,2451070.85931,-11.69,1.17,HIRES-Pre,0.1796,2.9e-06,-1.0000,-1.0000,rk25.290
HD196761,2451071.82597,-11.60,1.31,HIRES-Pre,0.1785,2.9e-06,-1.0000,-1.0000,rk25.421
HD196761,2451072.81609,-13.90,1.39,HIRES-Pre,0.1743,3.1e-06,-1.0000,-1.0000,rk25.553
HD196761,2451073.81174,4.34,1.21,HIRES-Pre,0.1550,3.4e-06,-1.0000,-1.0000,rk26.690
HD196761,2451074.79722,1.18,1.23,HIRES-Pre,0.1658,4.8e-06,-1.0000,-1.0000,rk26.812
HD196761,2451075.81637,-3.50,1.98,HIRES-Pre,0.1682,1.3e-05,-1.0000,-1.0000,rk26.937
HD196761,2451341.06816,-10.33,1.18,HIRES-Pre,0.1684,3e-06,-1.0000,-1.0000,rk31.85
HD196761,2451368.92122,11.87,1.68,HIRES-Pre,0.1650,5.9e-06,-1.0000,-1.0000,rk32.180
HD196761,2451409.90087,-19.68,1.42,HIRES-Pre,0.1684,3.3e-06,-1.0000,-1.0000,rk33.73
HD196761,2451439.81240,1.79,1.39,HIRES-Pre,0.1733,4.3e-06,-1.0000,-1.0000,rk35.144
HD196761,2451754.93357,6.69,1.36,HIRES-Pre,0.1966,4.1e-06,-1.0000,-1.0000,rk43.46
HD196761,2452063.02315,6.01,1.34,HIRES-Pre,0.1421,3.3e-06,-1.0000,-1.0000,rk53.186
HD196761,2452101.00281,0.84,1.61,HIRES-Pre,0.1570,4e-06,-1.0000,-1.0000,rk54.1094
HD196761,2452162.85404,8.84,1.29,HIRES-Pre,0.1614,3.6e-06,-1.0000,-1.0000,rk56.257
HD196761,2452486.88204,6.53,1.66,HIRES-Pre,0.1746,3.8e-06,-1.0000,-1.0000,rk65.53
HD196761,2452539.79573,10.93,1.55,HIRES-Pre,0.1653,3.6e-06,-1.0000,-1.0000,rk67.745
HD196761,2452804.12882,-0.37,1.38,HIRES-Pre,0.1608,3e-06,-1.0000,-1.0000,rk74.94
HD196761,2452834.98361,-6.01,1.58,HIRES-Pre,0.1681,3.1e-06,-1.0000,-1.0000,rk75.870
HD196761,2452853.98368,11.82,1.54,HIRES-Pre,0.1602,3.1e-06,-1.0000,-1.0000,rk77.12
HD196761,2453195.90085,6.65,1.74,HIRES-Pre,0.1672,3.8e-06,-1.0000,-1.0000,rk88.72
