HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD20794,2458354.87716,1.33,1.14,PFS-Post,0.2570,0.00078,-1.0000,-1.0000,rn46.2109
HD20794,2458354.87871,-0.56,1.15,PFS-Post,0.2564,0.00082,-1.0000,-1.0000,rn46.2110
HD20794,2458354.88003,0.87,1.14,PFS-Post,0.2573,0.00081,-1.0000,-1.0000,rn46.2111
HD20794,2458354.88114,0.30,1.22,PFS-Post,0.2568,0.00081,-1.0000,-1.0000,rn46.2112
HD20794,2458354.88232,1.14,1.11,PFS-Post,0.2511,0.00065,-1.0000,-1.0000,rn46.2113
HD20794,2458354.88368,-0.74,1.05,PFS-Post,0.2483,0.00065,-1.0000,-1.0000,rn46.2114
HD20794,2458705.94017,-1.04,1.13,PFS-Post,0.2388,0.00044,-1.0000,-1.0000,rn53.4792
HD20794,2458705.94124,1.79,1.12,PFS-Post,0.2392,0.00044,-1.0000,-1.0000,rn53.4793
HD20794,2458705.94226,-0.14,1.09,PFS-Post,0.2394,0.00045,-1.0000,-1.0000,rn53.4794
HD20794,2458705.94327,2.43,1.12,PFS-Post,0.2401,0.00045,-1.0000,-1.0000,rn53.4795
HD20794,2458705.94434,1.92,1.12,PFS-Post,0.2396,0.00044,-1.0000,-1.0000,rn53.4796
HD20794,2458705.94545,-0.11,1.07,PFS-Post,0.2412,0.00045,-1.0000,-1.0000,rn53.4797
HD20794,2459213.64748,-1.45,0.90,PFS-Post,0.2712,0.00053,-1.0000,-1.0000,rn59.1832
HD20794,2459213.64872,-2.85,1.05,PFS-Post,0.2812,0.00078,-1.0000,-1.0000,rn59.1833
HD20794,2459213.64982,-2.46,0.97,PFS-Post,0.2812,0.00077,-1.0000,-1.0000,rn59.1834
HD20794,2459213.65093,-2.05,1.01,PFS-Post,0.2809,0.00084,-1.0000,-1.0000,rn59.1835
HD20794,2459213.65204,-1.11,0.94,PFS-Post,0.2718,0.00058,-1.0000,-1.0000,rn59.1836
HD20794,2459213.65317,-0.35,0.92,PFS-Post,0.2743,0.00064,-1.0000,-1.0000,rn59.1837
HD20794,2459213.65425,-1.34,1.06,PFS-Post,0.2796,0.00076,-1.0000,-1.0000,rn59.1838
