HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD50281,2453303.05444,0.07,1.18,HIRES-Post,0.5796,5.6e-06,-1.0000,-1.0000,rj02.606
HD50281,2453303.05564,0.82,1.42,HIRES-Post,0.5867,5.7e-06,-1.0000,-1.0000,rj02.607
HD50281,2453368.87885,1.88,1.39,HIRES-Post,0.6430,6.1e-06,-1.0000,-1.0000,rj04.420
HD50281,2453426.84869,3.86,1.28,HIRES-Post,0.6320,6e-06,-1.0000,-1.0000,rj06.653
HD50281,2454464.95461,6.17,1.28,HIRES-Post,0.6609,7.3e-06,-1.0000,-1.0000,rj50.146
HD50281,2455111.11251,12.22,6.04,HIRES-Post,0.5640,5.9e-05,-1.0000,-1.0000,rq21.1221
HD50281,2456266.12884,-4.92,1.54,HIRES-Post,0.6501,1.6e-05,-1.0000,-1.0000,rq62.563
HD50281,2457327.09239,-8.73,1.59,HIRES-Post,0.5687,1.3e-05,-1.0000,-1.0000,rq74.128
HD50281,2457411.87376,-8.39,1.64,HIRES-Post,0.5803,1.3e-05,-1.0000,-1.0000,rq74.1704
HD50281,2457412.90544,-2.67,1.80,HIRES-Post,0.5710,1.3e-05,-1.0000,-1.0000,rq74.1958
HD50281,2457413.92750,-1.88,1.71,HIRES-Post,0.5668,1.3e-05,-1.0000,-1.0000,rq74.2208
HD50281,2457414.99041,-5.21,1.78,HIRES-Post,0.5637,1.3e-05,-1.0000,-1.0000,rq74.2417
HD50281,2457422.97373,3.70,1.79,HIRES-Post,0.6279,1.5e-05,-1.0000,-1.0000,rq74.2832
HD50281,2457439.97181,0.11,1.88,HIRES-Post,0.6241,1.5e-05,-1.0000,-1.0000,rq74.2971
HD50281,2457680.15661,7.18,1.74,HIRES-Post,0.6013,1.6e-05,-1.0000,-1.0000,rq75.1795
HD50281,2457698.16733,5.80,2.00,HIRES-Post,0.6483,1.6e-05,-1.0000,-1.0000,rq75.2041
HD50281,2457714.09163,4.70,1.73,HIRES-Post,0.6241,1.5e-05,-1.0000,-1.0000,rq75.3038
HD50281,2457716.17041,1.54,1.67,HIRES-Post,0.6423,1.7e-05,-1.0000,-1.0000,rq75.3382
HD50281,2457746.91371,1.75,1.49,HIRES-Post,0.5913,8.7e-06,-1.0000,-1.0000,rq75.4219
HD50281,2457759.93469,-9.58,1.81,HIRES-Post,0.5903,1.5e-05,-1.0000,-1.0000,rq75.4590
HD50281,2457774.83099,2.86,1.66,HIRES-Post,0.5965,1.5e-05,-1.0000,-1.0000,rq75.5587
HD50281,2457789.75686,-4.83,1.74,HIRES-Post,0.5865,1.4e-05,-1.0000,-1.0000,rq75.6373
HD50281,2457790.74394,-7.10,1.51,HIRES-Post,0.6016,1.5e-05,-1.0000,-1.0000,rq75.6577
HD50281,2457802.78348,0.00,1.73,HIRES-Post,0.5903,1.4e-05,-1.0000,-1.0000,rq75.7480
