HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD72673,2457327.81958,0.58,0.80,HARPS-Post,0.1668,0.0019,-1.0000,-1.0000,2015-11-01T07:33:03
HD72673,2457328.85422,0.61,1.00,HARPS-Post,0.1566,0.0026,-1.0000,-1.0000,2015-11-02T08:21:11
HD72673,2457371.80563,1.11,0.80,HARPS-Post,0.1653,0.0014,-1.0000,-1.0000,2015-12-15T07:08:43
HD72673,2457418.69653,1.27,0.80,HARPS-Post,0.1676,0.0011,-1.0000,-1.0000,2016-01-31T04:29:02
HD72673,2457421.69528,0.32,0.57,HARPS-Post,0.1624,0.0014,-1.0000,-1.0000,2016-02-03T04:30:50
HD72673,2457421.70073,0.25,0.57,HARPS-Post,0.1654,0.0014,-1.0000,-1.0000,2016-02-03T04:38:51
HD72673,2457433.63096,-0.96,0.59,HARPS-Post,0.1592,0.0011,-1.0000,-1.0000,2016-02-15T02:54:38
HD72673,2457434.55061,-1.20,0.51,HARPS-Post,0.1594,0.0015,-1.0000,-1.0000,2016-02-16T00:58:47
HD72673,2457460.69242,0.49,0.55,HARPS-Post,0.1645,0.0024,-1.0000,-1.0000,2016-03-13T04:27:27
HD72673,2457460.69788,0.46,0.55,HARPS-Post,0.1646,0.0024,-1.0000,-1.0000,2016-03-13T04:35:28
HD72673,2457464.64166,-1.20,0.66,HARPS-Post,0.1619,0.0023,-1.0000,-1.0000,2016-03-17T03:14:20
HD72673,2457464.64697,-1.71,0.65,HARPS-Post,0.1652,0.0021,-1.0000,-1.0000,2016-03-17T03:22:21
HD72673,2457474.56832,0.39,0.51,HARPS-Post,0.1569,0.0013,-1.0000,-1.0000,2016-03-27T01:25:47
HD72673,2457478.68694,-2.60,0.68,HARPS-Post,0.1635,0.0017,-1.0000,-1.0000,2016-03-31T04:16:44
HD72673,2457695.81743,1.70,0.52,HARPS-Post,0.1595,0.0013,-1.0000,-1.0000,2016-11-03T07:29:32
HD72673,2457699.83150,1.13,0.41,HARPS-Post,0.1575,0.0014,-1.0000,-1.0000,2016-11-07T07:50:00
HD72673,2457703.83355,0.83,0.66,HARPS-Post,0.1543,0.0011,-1.0000,-1.0000,2016-11-11T07:51:59
HD72673,2457705.83535,0.79,1.02,HARPS-Post,0.1513,0.0016,-1.0000,-1.0000,2016-11-13T07:54:50
HD72673,2457721.87130,4.02,1.52,HARPS-Post,0.2052,0.0048,-1.0000,-1.0000,2016-11-29T08:51:54
HD72673,2457751.67441,0.04,0.68,HARPS-Post,0.1543,0.0021,-1.0000,-1.0000,2016-12-29T03:59:14
HD72673,2457752.77995,-0.87,0.53,HARPS-Post,0.1575,0.0013,-1.0000,-1.0000,2016-12-30T06:30:15
HD72673,2457753.76824,0.56,0.55,HARPS-Post,0.1566,0.0014,-1.0000,-1.0000,2016-12-31T06:13:28
HD72673,2457755.72663,0.46,0.96,HARPS-Post,0.1620,0.0014,-1.0000,-1.0000,2017-01-02T05:13:24
HD72673,2457810.57924,-1.32,0.58,HARPS-Post,0.1560,0.0012,-1.0000,-1.0000,2017-02-26T01:40:18
HD72673,2457811.56287,-0.31,0.69,HARPS-Post,0.1555,0.0013,-1.0000,-1.0000,2017-02-27T01:16:54
HD72673,2457814.63592,-1.02,1.01,HARPS-Post,0.1534,0.0013,-1.0000,-1.0000,2017-03-02T03:02:02
HD72673,2457815.53464,-1.79,0.82,HARPS-Post,0.1595,0.0011,-1.0000,-1.0000,2017-03-03T00:35:54
HD72673,2457817.59647,0.30,0.69,HARPS-Post,0.1576,0.0014,-1.0000,-1.0000,2017-03-05T02:05:18
HD72673,2457818.54412,1.08,0.70,HARPS-Post,0.1568,0.0013,-1.0000,-1.0000,2017-03-06T00:49:58
HD72673,2457821.55691,2.06,0.88,HARPS-Post,0.1572,0.0014,-1.0000,-1.0000,2017-03-09T01:08:03
HD72673,2457822.62174,-0.69,0.51,HARPS-Post,0.1524,0.0014,-1.0000,-1.0000,2017-03-10T02:41:36
HD72673,2457823.59434,1.41,0.52,HARPS-Post,0.1597,0.0012,-1.0000,-1.0000,2017-03-11T02:01:44
HD72673,2457824.59455,-0.54,0.79,HARPS-Post,0.1566,0.0012,-1.0000,-1.0000,2017-03-12T02:02:50
HD72673,2457825.57068,0.83,0.79,HARPS-Post,0.1583,0.0014,-1.0000,-1.0000,2017-03-13T01:28:12
HD72673,2457847.57468,-2.81,0.92,HARPS-Post,0.1554,0.0019,-1.0000,-1.0000,2017-04-04T01:35:10
HD72673,2457850.57095,-1.30,0.56,HARPS-Post,0.1511,0.0016,-1.0000,-1.0000,2017-04-07T01:30:28
HD72673,2457851.61957,-1.29,0.60,HARPS-Post,0.1504,0.0022,-1.0000,-1.0000,2017-04-08T02:40:15
HD72673,2457852.54630,-0.45,0.52,HARPS-Post,0.1479,0.0021,-1.0000,-1.0000,2017-04-09T00:55:16
HD72673,2457854.56175,-1.45,0.62,HARPS-Post,0.1585,0.0023,-1.0000,-1.0000,2017-04-11T01:21:27
HD72673,2457854.56686,-1.19,0.62,HARPS-Post,0.1427,0.0025,-1.0000,-1.0000,2017-04-11T01:28:49
