Name,JD,RVel,e_RVel,SNR,Dewar
GL638,2446957.8528,-33.92,22.1,118.0,2
GL638,2447048.693,12.63,13.0,89.0,2
GL638,2447374.7912,30.42,9.89,157.0,2
GL638,2448846.7472,0.0,13.77,98.0,2
GL638,2448905.6478,12.49,10.22,127.0,2
GL638,2449114.9513,-33.82,18.5,128.0,2
GL638,2449172.7511,3.66,13.01,179.0,2
GL638,2449200.7299,-0.18,10.78,187.0,2
GL638,2449469.9501,8.73,15.0,186.0,2
GL638,2449622.647,-4.68,11.16,177.0,2
GL638,2449881.9243,-1.39,5.36,109.0,13
GL638,2449913.8291,-0.04,3.08,96.0,13
GL638,2450181.95508,2.12,3.01,97.0,13
GL638,2450262.81348,-4.06,3.46,112.0,13
GL638,2450299.74414,-3.87,3.76,80.0,13
GL638,2450505.01465,3.52,3.67,71.0,13
GL638,2450610.84375,3.46,2.92,91.0,13
GL638,2450610.8584,4.44,2.85,97.0,13
GL638,2450614.80273,8.95,3.54,71.0,13
GL638,2450640.77246,-4.42,3.65,68.0,13
GL638,2450655.74707,4.02,3.36,81.0,13
GL638,2451304.91406,-11.17,4.2,128.0,6
GL638,2451628.99316,-4.62,4.82,131.0,6
