Name,JD,RVel,e_RVel,SNR,Dewar
91638,2450831.90332,-12.1,8.64,73.0,13
91638,2450854.91504,20.6,9.88,54.0,13
91638,2451174.03027,-16.07,10.76,67.0,6
91638,2451206.9069,39.61,9.38,82.0,6
91638,2451212.99023,21.21,10.71,77.0,6
91638,2452707.80569,20.89,4.02,137.0,8
91638,2453033.96973,27.75,6.32,122.0,8
91638,2453388.93621,-14.8,6.66,109.0,8
91638,2453392.87998,0.0,5.4,170.0,8
91638,2454134.87855,-12.3,5.53,153.0,8
91638,2455577.97446,-46.4,7.35,120.0,8
91638,2455579.97338,-11.67,6.62,110.0,8
