objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD004614,11.5447281506442,57.5428492030496,2454107.24566234,8420.83644866943,0.38083,7698.97,,42025,33.0116,4708,359.248
HD004614,11.5447281506442,57.5428492030496,2454022.48555306,8446.86889648438,0.729004,7688.7,,11137,33.1927,4742,187.302
HD004614,11.5447281506442,57.5428492030496,2455937.48938489,8413.493156433111,1.0394899999999998,9634.18,-11.3333,10222,25.9971,4701,203.269
HD004614,11.5447281506442,57.5428492030496,2455936.40741743,8484.31205749512,0.807817,7728.37,-9.0,9363,32.6209,4706,173.444
HD004614,11.5447281506442,57.5428492030496,2454104.23950601,8435.15110015869,0.432158,7691.57,,33106,33.0017,4708,315.538
HD004614,11.5447281506442,57.5428492030496,2454515.38983999,8446.28715515137,1.43674,7884.719999999999,1.5,2499,29.5763,4705,112.854
HD004614,11.5447281506442,57.5428492030496,2455936.26481082,8490.39173126221,0.822315,7732.71,-5.16667,9294,32.53,4707,171.624
HD004614,11.5447281506442,57.5428492030496,2455936.28064314,8491.3501739502,0.95039,7733.3,-9.83333,7025,32.3626,4707,149.519
HD004614,11.5447281506442,57.5428492030496,2454740.53973464,8467.27848052979,0.716369,7704.87,-7.666670000000001,11972,32.678,4749,191.669
HD004614,11.5447281506442,57.5428492030496,2454022.488192,8431.21719360352,0.645936,7681.07,,14026,33.3464,4742,209.252
HD004614,11.5447281506442,57.5428492030496,2454107.25071989,8419.9161529541,0.363162,7693.97,,46160,33.0884,4708,374.273
HD004614,11.5447281506442,57.5428492030496,2455936.31561776,8485.61096191406,0.7439509999999999,7733.28,-2.33333,11222,32.6118,4706,189.181
HD004614,11.5447281506442,57.5428492030496,2455937.43876315,8423.27785491943,0.8527539999999999,9559.51,-2.5,15809,26.4807,4701,227.934
HD004614,11.5447281506442,57.5428492030496,2456280.38881564,8489.054679870611,0.871092,7737.459999999999,-6.5,8285,32.3947,4709,163.274
HD004614,11.5447281506442,57.5428492030496,2454106.27808391,8400.84934234619,0.429396,7696.08,,33430,32.971,4708,317.727
HD004614,11.5447281506442,57.5428492030496,2454518.35403578,8464.65396881104,0.362156,9392.289999999999,10.3333,79144,27.3254,4702,518.672
HD004614,11.5447281506442,57.5428492030496,2454520.28127493,8451.71356201172,0.749407,7838.4400000000005,-12.5,10364,31.2633,4708,218.026
HD004614,11.5447281506442,57.5428492030496,2454754.52250742,8432.69348144531,0.543072,7710.48,-7.666670000000001,20190,32.9436,4737,251.579
HD004614,11.5447281506442,57.5428492030496,2455936.36228143,8487.80345916748,0.7851680000000001,7739.93,-4.666670000000001,10022,32.5299,4706,179.85
HD004614,11.5447281506442,57.5428492030496,2454106.26192751,8413.38539123535,0.454467,7697.7,,30042,32.9446,4708,300.31
HD004614,11.5447281506442,57.5428492030496,2456280.39806286,8491.99199676514,0.806589,7739.03,-4.83333,9591,32.433,4709,176.556
HD004614,11.5447281506442,57.5428492030496,2455936.2821361,8487.50114440918,0.850693,7732.160000000001,-6.33333,8696,32.4877,4707,166.202
HD004614,11.5447281506442,57.5428492030496,2454741.57475878,8470.00122070312,0.5721879999999999,7719.5,-1.83333,18353,32.6737,4749,244.361
HD004614,11.5447281506442,57.5428492030496,2455936.49303694,8469.93446350098,0.922736,7844.8,-13.5,6752,31.0944,4706,178.587
HD004614,11.5447281506442,57.5428492030496,2455936.25359626,8488.53397369385,0.834341,7740.53,-4.666670000000001,9061,32.5053,4708,169.3
HD004614,11.5447281506442,57.5428492030496,2456280.46661263,8489.53819274902,0.934355,7748.719999999999,-2.5,7112,32.1416,4709,155.12
HD004614,11.5447281506442,57.5428492030496,2455937.4554056,8422.24407196045,0.8968109999999999,9564.310000000001,-9.16667,14233,26.4108,4701,217.253
HD004614,11.5447281506442,57.5428492030496,2454105.28139801,8444.72312927246,0.511858,7701.5,,23972,32.7997,4708,270.365
HD004614,11.5447281506442,57.5428492030496,2454106.24378049,8419.49272155762,0.41782,7701.71,,35199,32.8987,4708,330.299
HD004614,11.5447281506442,57.5428492030496,2455937.25935342,8430.9196472168,0.621129,9543.939999999999,-1.66667,30330,26.8765,4701,309.959
HD004614,11.5447281506442,57.5428492030496,2455937.28939778,8428.3561706543,0.614737,9547.46,-6.0,31128,26.7839,4701,314.278
HD004614,11.5447281506442,57.5428492030496,2454519.31347716,8439.93949890137,0.457034,9467.53,8.0,49491,26.6709,4701,457.871
HD004614,11.5447281506442,57.5428492030496,2455936.33166997,8488.97933959961,0.785489,7736.49,-3.0,10089,32.5904,4706,179.284
HD004614,11.5447281506442,57.5428492030496,2455936.38982597,8485.34202575684,0.8073349999999999,7736.589999999999,-4.83333,9448,32.4887,4706,174.966
HD004614,11.5447281506442,57.5428492030496,2455936.32514261,8484.58671569824,0.808566,7729.91,-6.5,9518,32.5353,4706,174.449
HD004614,11.5447281506442,57.5428492030496,2454740.53768595,8463.53149414062,0.6710929999999999,7702.68,-5.33333,13551,32.7366,4749,204.232
HD004614,11.5447281506442,57.5428492030496,2454740.54382043,8468.91593933105,0.765645,7703.89,-9.0,10544,32.5801,4749,180.21
HD004614,11.5447281506442,57.5428492030496,2454740.56055712,8470.67165374756,0.6864399999999999,7709.52,-7.33333,12952,32.6681,4749,201.626
HD004614,11.5447281506442,57.5428492030496,2454741.59355572,8469.56920623779,0.6055229999999999,7734.47,-3.8333299999999997,16410,32.4663,4749,238.031
HD004614,11.5447281506442,57.5428492030496,2456280.3588403,8489.53533172607,0.745276,7732.33,-2.16667,11328,32.4918,4709,189.782
HD004614,11.5447281506442,57.5428492030496,2454012.37168774,8449.97501373291,1.3652499999999999,7652.67,,3997,29.773,4748,100.897
HD004614,11.5447281506442,57.5428492030496,2455937.42675004,8423.69365692139,0.773382,9558.74,-4.83333,19263,26.5571,4701,251.488
HD004614,11.5447281506442,57.5428492030496,2455936.44545897,8486.3748550415,0.759506,7737.09,-5.16667,10509,32.5148,4706,185.101
HD004614,11.5447281506442,57.5428492030496,2454520.29688737,8450.74367523193,0.672339,7783.85,-8.66667,13094,31.9944,4708,224.507
HD004614,11.5447281506442,57.5428492030496,2454012.39027631,8450.88291168213,1.2908,7668.9800000000005,,4417,29.9717,4748,111.334
HD004614,11.5447281506442,57.5428492030496,2455936.24838826,8491.8270111084,0.79239,7737.429999999999,-3.3333299999999997,10016,32.5593,4708,177.851
HD004614,11.5447281506442,57.5428492030496,2454105.2955638,8445.68252563477,0.679592,7700.68,,14035,32.3796,4708,206.685
HD004614,11.5447281506442,57.5428492030496,2454740.56488598,8474.95746612549,0.671222,7721.19,-1.83333,13556,32.6046,4749,208.676
HD004614,11.5447281506442,57.5428492030496,2455936.45108361,8485.97812652588,0.7859590000000001,7741.87,-6.666670000000001,9827,32.4937,4706,178.923
HD004614,11.5447281506442,57.5428492030496,2454107.23250344,8430.29689788818,0.387759,7698.820000000001,,40581,32.9849,4708,353.478
HD004614,11.5447281506442,57.5428492030496,2454106.23871137,8409.56878662109,0.39706600000000003,7699.73,,38864,32.9592,4708,346.042
HD004614,11.5447281506442,57.5428492030496,2454107.2487177,8419.70252990723,0.36609,7692.55,,45413,33.0957,4708,370.702
HD004614,11.5447281506442,57.5428492030496,2454022.49083095,8437.63637542725,0.648783,7684.36,,13955,33.3402,4742,208.022
HD004614,11.5447281506442,57.5428492030496,2454520.31313635,8448.97079467773,0.686913,7800.5599999999995,-9.66667,12197,31.6746,4708,223.423
HD004614,11.5447281506442,57.5428492030496,2455936.44174393,8486.20510101318,0.757828,7741.31,-5.33333,10554,32.5112,4706,185.381
HD004614,11.5447281506442,57.5428492030496,2454104.27968874,8436.4070892334,0.486237,7699.7,,26336,32.8524,4708,282.54
HD004614,11.5447281506442,57.5428492030496,2456280.33524196,8495.45288085938,0.770898,7736.06,-4.0,10580,32.5597,4709,182.93
