,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
149246,HD108202,186.461091,-1.11156,2453511.6265071,-15.029629,1.18661,-5755.708635,1.25436,-28.546756,0.936886,-5756.791218,0.886388,-28.386028,0.96517,-8.424333,7.306372,-10.374764,1.22834,0.648797,0.001248,0.191232,0.00153,0.224118,0.00178,0,6.552406,47.434285,0.052047,-6,67.8,2453511.6265,-23.685064,-23.684855,0,-9999999,0.0,-1.850502,0.728209,-1.082583,0.887544,0.51,900,-8.407126,7.264093,2005-05-21T02:49:34.682,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,5.12688063598915e-05,5.37852658579995e-06,0,0
149247,HD108202,186.461091,-1.11156,2453520.5920969,-16.272612,1.674448,-5757.732676,1.890448,-27.605087,1.457156,-5756.797758,1.651635,-27.293589,1.485007,18.82342,10.589913,-18.009248,2.342746,0.65286,0.001868,0.194583,0.002478,0.224553,0.002872,0,6.54401,47.757534,0.044717,-6,45.8,2453520.59209,-26.028412,-26.028251,0,-9999999,0.002228,0.33415,0.824908,0.93269,0.919726,0.51,630,18.816346,10.581338,2005-05-30T02:03:23.102,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,6.11335266122729e-05,7.64561533558992e-06,0,0
149248,HD108202,186.461091,-1.11156,2453785.7831895,-7.254962,1.432088,-5744.073307,1.42708,-19.634112,1.14773,-5745.466067,1.175822,-19.253765,1.176523,-12.965493,10.018043,-7.87976,1.411866,0.665529,0.001629,0.188447,0.001978,0.226561,0.002292,0,6.583169,47.362659,0.064226,-6,55.6,2453785.78331,18.053668,18.053551,0,-9999999,0.068117,-0.712525,0.856499,-1.460877,0.808703,0.49,558,-12.922433,10.003023,2006-02-19T06:36:37.004,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,5.82554834127801e-05,4.91585622608263e-06,0,0
149249,HD108202,186.461091,-1.11156,2453789.8345336,5.382229,1.474306,-5733.633817,1.631941,-6.13076,1.26822,-5733.524725,1.325118,-6.515699,1.295839,-14.364305,11.663835,-12.50207,1.62477,0.661812,0.001709,0.196076,0.002163,0.232809,0.002476,0,6.572052,47.51817,0.047407,-6,51.9,2453789.83465,16.142794,16.142733,0,-9999999,0.069123,0.153636,0.751796,0.039969,0.95252,0.49,554,-14.28545,11.657315,2006-02-23T07:50:15.046,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,5.70477016886701e-05,5.8349824466339e-06,0,0
149250,HD108202,186.461091,-1.11156,2453790.8598369,1.252604,1.506881,-5735.038162,1.639821,-9.781369,1.265234,-5736.18466,1.313919,-9.410023,1.293447,-16.646845,10.13548,-9.035302,1.763447,0.6593,0.001669,0.186944,0.002093,0.226162,0.002437,0,6.568495,47.507149,0.049189,-6,52.6,2453790.85995,15.617606,15.617568,0,-9999999,0.069378,0.632652,0.818457,-1.215876,0.981137,0.48,554,-16.669069,10.145869,2006-02-24T08:26:42.059,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,3.96346693229915e-05,3.77038696405084e-06,0,0
149251,HD108202,186.461091,-1.11156,2453861.673468,14.084516,1.58285,-5728.955439,1.566739,2.715056,1.331103,-5728.007085,1.402954,3.031582,1.359825,19.819773,11.817953,-15.635871,1.680192,0.654664,0.001743,0.19502,0.002281,0.223277,0.002632,0,6.542805,47.606267,0.033925,-6,50.0,2453861.67359,-18.455633,-18.455683,0,-9999999,0.086972,0.297165,0.856491,0.861382,0.697419,0.48,557,19.928903,11.81385,2006-05-06T03:58:51.254,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,0.000109911932854,3.3414957888809e-05,0,0
149252,HD108202,186.461091,-1.11156,2453863.6676341,7.626196,1.556317,-5730.610541,1.692825,-2.786858,1.323517,-5729.598639,1.399534,-2.756437,1.352591,10.692045,10.834944,-12.842198,1.676944,0.65819,0.001744,0.189831,0.002244,0.22105,0.002598,0,6.543536,47.487128,0.043327,-6,50.2,2453863.66775,-19.218898,-19.218934,0,-9999999,0.087468,1.253571,0.818794,0.924434,0.952346,0.47,557,10.690362,10.841726,2006-05-08T03:50:43.496,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,6.06878125340741e-05,6.16380093458366e-06,0,0
149253,HD108202,186.461091,-1.11156,2453865.6806979,11.738229,1.292657,-5727.297866,1.35022,-0.013502,0.968186,-5727.284988,0.927649,-0.037646,0.996176,13.647197,9.592299,-5.867846,1.153158,0.653988,0.001313,0.187761,0.001594,0.219684,0.001852,0,6.539704,47.287673,0.037605,-6,66.1,2453865.68081,-20.007159,-20.00718,0,-9999999,0.087968,-0.085106,0.856491,-0.07509,0.981102,0.48,899,13.687279,9.593338,2006-05-10T04:06:53.734,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,5.68436390829045e-05,5.88001356886512e-06,0,0
149254,HD108202,186.461091,-1.11156,2453868.6615152,20.540093,1.506619,-5720.714479,1.625823,8.483472,1.239484,-5720.664806,1.296432,8.559182,1.268187,-3.91791,9.971809,-10.101707,1.679521,0.659662,0.00167,0.189201,0.002079,0.224194,0.002438,0,6.55248,47.414311,0.035134,-6,52.6,2453868.66163,-21.0464,-21.046443,0,-9999999,0.088709,-0.389996,0.856492,-0.039036,0.981104,0.47,557,-3.943833,9.954853,2006-05-13T03:42:23.536,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,6.8082904225034e-05,7.52284705925082e-06,0,0
149255,HD108202,186.461091,-1.11156,2453871.6666797,16.014979,1.493047,-5724.704521,1.581011,3.825204,1.222952,-5724.604153,1.257531,4.245175,1.251344,2.152327,10.069848,-5.399391,1.552142,0.668618,0.001623,0.194867,0.002066,0.22924,0.002374,0,6.567174,47.33189,0.038416,-6,54.1,2453871.66679,-22.094609,-22.09466,0,-9999999,0.089455,-0.52315,0.856492,0.010913,0.958234,0.47,557,2.226635,10.0745,2006-05-16T03:50:08.251,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,7.0112668348566e-05,8.45684075499858e-06,0,0
149256,HD108202,186.461091,-1.11156,2455684.5883736,-45.785724,1.55576,-5783.6941,1.532871,-57.704726,1.298763,-5783.467848,1.327426,-57.774275,1.323796,-20.611261,12.384662,-2.899832,1.86552,0.660026,0.001678,0.191071,0.002073,0.225401,0.002426,0,6.581117,47.41445,0.055034,-6,53.6,2455684.58837,-16.881906,-16.88177,0,-9999999,0.539893,-0.252377,0.856506,-0.313641,0.766572,0.49,557,-20.593291,12.265831,2011-05-03T01:55:52.566,-9999999,K5,087.C-0831(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,4.62249395841708e-05,3.56814795257881e-06,0,0
149257,HD108202,186.461091,-1.11156,2456080.5355685,-33.225516,1.25783,-5774.089623,1.267982,-44.519224,1.13633,-5773.079083,1.091469,-44.435257,1.162218,-5.474512,9.962546,0.253687,1.703665,0.658166,0.001483,0.191051,0.001771,0.225225,0.002073,0,6.582258,47.303522,0.047987,-6,60.9,2456080.53556,-26.611999,-26.611875,0,-9999999,0.638269,0.372917,0.539343,0.372271,0.645349,0.5,600,-5.45427,9.86056,2012-06-02T00:42:40.836,-9999999,K5,089.C-0732(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,5.09256877109033e-05,4.48917825079797e-06,0,0
149258,HD108202,186.461091,-1.11156,2456385.7189334,-9.69384,1.627101,-5748.837558,1.700573,-23.026054,1.501598,-5750.073163,1.534915,-23.000192,1.530466,-10.470706,13.595847,-9.461945,2.225534,0.644113,0.001876,0.190335,0.002376,0.225248,0.002742,0,6.551347,47.54262,0.047919,-6,48.2,2456385.71893,-3.239309,-3.239136,0,-9999999,0.714095,-1.665589,0.626626,-1.9497,0.732109,0.49,513,-10.384715,13.580325,2013-04-03T05:02:49.033,-9999999,K5,091.C-0034(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,5.18597388851763e-05,4.24281960105391e-06,0,0
149259,HD108202,186.461091,-1.11156,2456455.510551,-9.392235,1.987446,-5753.76417,2.274579,-23.279582,1.910569,-5755.946039,2.151091,-23.560548,1.945301,42.431701,16.824857,-15.347476,2.440273,0.641322,0.002377,0.182582,0.003152,0.217701,0.003703,0,6.541292,47.685368,0.029735,-6,38.3,2456455.51055,-28.289711,-28.289675,0,-9999999,0.731435,-2.220722,0.54742,-2.913304,0.739269,0.53,513,42.422697,16.843891,2013-06-12T00:08:25.436,-9999999,K5,091.C-0034(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,4.77304997010739e-05,4.61435877798423e-06,0,0
149260,HD108202,186.461091,-1.11156,2456467.5507701,-8.924192,1.889492,-5752.871237,2.116865,-19.267917,1.82927,-5750.244152,2.033547,-19.617173,1.860179,-5.979869,16.225271,-0.638171,2.245353,0.630835,0.002254,0.18009,0.003002,0.217302,0.003501,0,6.554407,47.361962,0.04316,-6,40.0,2456467.55077,-29.437033,-29.437061,0,-9999999,0.734427,1.3229,0.473237,1.892658,0.58805,0.46,900,-5.854023,16.180095,2013-06-24T01:05:38.256,-9999999,K5,091.C-0034(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K7,3.65006732016295e-05,3.75955937941981e-06,0,0
