,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
191033,HD111261B,192.0419585,-24.804075,2453831.6938841,147.156027,1.405733,-12563.987825,0.959443,482.799099,1.336143,-12564.907984,0.800876,482.55022,1.265681,14.240274,12.791863,-12.623532,3.921235,0.739191,0.001179,0.212053,0.001407,0.251418,0.001615,0,5.869941,35.928304,0.042096,0,76.0,2453831.69401,2.848895,2.848891,0,-9999999,0.0,-0.757246,0.436815,-0.920159,0.528325,0.5,600,14.274953,12.780362,2006-04-06T04:26:20.516,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,3.79846074829055e-05,6.54749796327315e-06,0,0
191034,HD111261B,192.0419585,-24.804075,2453834.7045279,146.1839,1.695478,-12558.912118,1.402437,482.436382,1.576978,-12560.376019,1.128843,481.872859,1.513627,9.691128,14.014484,-10.144982,4.169488,0.73784,0.001489,0.213552,0.001865,0.246746,0.002118,0,6.000198,35.358909,0.039498,0,59.6,2453834.70464,1.346806,1.346834,0,-9999999,0.000447,-0.147837,0.622723,-1.464348,0.832191,0.47,398,9.687741,14.005668,2006-04-09T04:43:31.294,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,4.03621924876133e-05,7.49074573268799e-06,0,0
191035,HD111261B,192.0419585,-24.804075,2454138.884637,149.488011,1.634308,-12557.685028,1.137156,484.482726,1.484111,-12559.192739,0.953049,483.998619,1.41634,-5.773609,14.024987,-6.793766,4.289025,0.722688,0.001325,0.219522,0.001638,0.243821,0.001865,0,5.812422,35.498205,0.034429,-13,66.5,2454138.88475,25.608877,25.60874,0,-9999999,0.045649,-1.405604,0.684381,-1.55336,0.62034,0.48,400,-5.781559,14.078307,2007-02-07T09:07:08.989,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,3.84288364366514e-05,6.46433360890376e-06,0,0
191036,HD111261B,192.0419585,-24.804075,2454921.8411074,146.635268,1.985323,-12561.19894,1.60932,483.098673,1.791058,-12562.445257,1.44238,482.366779,1.727017,23.15551,17.487992,-4.491316,4.420814,0.732998,0.001747,0.209723,0.002219,0.249492,0.002541,0,5.923634,35.010817,0.039937,-13,51.9,2454921.84122,5.300345,5.300439,0,-9999999,0.161997,0.063087,0.856516,-1.408314,0.713759,0.5,400,22.902496,17.463392,2009-03-31T08:00:04.945,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,6.14103539236763e-05,1.45307726432657e-05,0,0
191037,HD111261B,192.0419585,-24.804075,2455749.4921084,151.054607,2.187446,-12557.434803,2.022871,487.991052,2.012772,-12556.788153,1.768991,487.014562,1.955869,24.713735,18.282484,-3.739967,4.507744,0.732096,0.001992,0.210828,0.002603,0.243364,0.003015,0,5.952488,34.808747,0.042254,-13,45.5,2455749.49211,-27.792247,-27.79226,0,-9999999,0.284986,0.536127,0.856546,0.361664,0.981161,0.55,500,24.606365,18.30697,2011-07-06T23:43:06.083,-9999999,K5,087.C-0831(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,2.88320961616535e-05,4.73281692132987e-06,0,0
191038,HD111261B,192.0419585,-24.804075,2456730.8622991,159.113814,2.191576,-12543.677305,2.063984,495.976655,2.127278,-12543.786517,1.931252,495.883038,2.06812,4.713398,16.722721,1.224121,5.127674,0.742903,0.002081,0.21523,0.002735,0.247894,0.003134,0,6.011237,34.618439,0.044213,-13,43.9,2456730.86229,13.304059,13.304204,0,-9999999,0.430819,0.462523,0.526966,-0.540031,0.728215,0.51,898,4.747865,16.768033,2014-03-14T08:27:06.432,-9999999,K5,092.C-0721(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,6.34689815428012e-05,1.26742344675495e-05,0,0
191039,HD111261B,192.0419585,-24.804075,2456761.706287,151.288125,1.78745,-12553.473328,1.459011,487.688758,1.568885,-12553.269558,1.079885,487.226998,1.499924,2.538434,15.058865,3.155793,4.102612,0.734678,0.001476,0.218831,0.001765,0.252378,0.002005,0,5.980493,34.679913,0.045304,-13,63.3,2456761.70628,-1.092205,-1.092038,0,-9999999,0.435402,0.000315,0.856491,-0.231632,0.981102,0.5,900,2.635053,15.056479,2014-04-14T04:41:38.333,-9999999,K5,093.C-0409(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,5.44268696646965e-05,1.00311851501325e-05,0,0
191040,HD111261B,192.0419585,-24.804075,2457059.8333379,-338.650017,1.745546,-13046.036059,1.322091,-2.534949,1.520959,-13046.12753,0.88618,-2.664516,1.644879,-39.399439,20.006783,3.960991,5.004883,0.643367,0.001287,0.173,0.001264,0.210405,0.001519,0,6.158883,41.58684,0.025282,-13,71.0,2457059.83333,25.960956,25.961045,0,-9999999,0.479704,-0.28525,0.856513,-0.571175,0.981126,0.49,900,-39.584291,20.021763,2015-02-06T07:49:15.493,-9999999,K5,192.C-0852(M),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,3.22291568278013e-05,5.40606259134898e-06,0,0
191041,HD111261B,192.0419585,-24.804075,2457060.8267099,-335.815742,2.090004,-13045.104621,1.79001,0.326919,1.906438,-13045.141971,1.497174,-0.466411,2.023254,-33.635374,19.419471,9.738811,5.495168,0.641627,0.001839,0.176556,0.001934,0.223095,0.002324,0,6.158209,41.311615,0.025556,-13,50.2,2457060.8267,25.750131,25.750219,0,-9999999,0.479852,-0.257657,0.856511,-0.517202,0.981124,0.49,900,-33.567951,19.424775,2015-02-07T07:39:35.447,-9999999,K5,183.C-0972(A),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,7.9557307707196e-06,0.000336360371815,0,0
191042,HD111261B,192.0419585,-24.804075,2457086.8617122,-339.38857,1.543174,-13049.990109,1.162306,-2.374273,1.283648,-13048.820396,0.623157,-2.736078,1.413483,-30.823394,20.249546,-0.493562,4.748492,0.64394,0.001003,0.17274,0.00091,0.218347,0.001116,0,6.073954,42.361983,0.028696,-13,93.9,2457086.86171,17.226647,17.226774,0,-9999999,0.48372,0.613978,0.856524,0.685993,0.981138,0.46,900,-30.726931,20.297522,2015-03-05T08:27:42.177,-9999999,K5,192.C-0852(M),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,3.72192112210116e-05,5.73843353784509e-06,0,0
191043,HD111261B,192.0419585,-24.804075,2457458.8241502,-1.056704,1.077789,-12539.984132,1.163188,-0.54987,0.103115,-12539.69925,1.031863,495.737947,1.452654,13.831541,16.730321,2.073057,4.161879,0.755925,0.00147,0.210581,0.001666,0.247389,0.001891,0,6.002618,34.659053,0.067783,-13,65.0,2457458.82415,14.51084,14.510993,0,-9999999,0.538994,0.51438,1.072845,-0.254112,0.536904,0.51,600,13.563859,16.742553,2016-03-11T07:34:54.461,-9999999,K5,096.C-0460(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,7.39282490189617e-05,1.24200259388221e-05,0,0
191044,HD111261B,192.0419585,-24.804075,2458202.7593204,1.409742,1.244878,-12540.022997,1.960378,-2.570869,0.168674,-12537.957823,1.425323,495.557282,1.721323,26.302919,17.850208,12.301703,3.821067,0.767433,0.001738,0.229664,0.002148,0.257371,0.002456,0,6.058781,34.164225,0.063788,-13,53.1,2458202.75931,8.528763,8.528925,0,-9999999,0.649544,-3.973065,1.233398,1.41563,1.345933,0.51,446,26.365653,17.859464,2018-03-25T06:02:06.452,-9999999,K5,0100.C-0097(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K0,4.87885407436006e-05,0.000722342952367,0,0
