,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
144775,GJ105A,39.0231,6.8894,2452939.7352632,-1.70245,0.765148,25934.31332,0.855733,-4.428852,0.439108,25934.546815,0.399904,-4.428852,0.439108,-0.58363,4.848968,-25.687258,1.885605,0.5475,0.000553,0.177666,0.000555,0.227934,0.000704,0,5.957779,47.182014,0.00736,26,141.4,2452939.7352,2.342936,2.33948,0,-9999999,0.0,-0.010447,0.626606,0.233495,0.756542,0.56,90,-0.571847,4.844809,2003-10-27T05:29:47.203,-9999999,K5,072.C-0096(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,7.77310730596956e-06,5.02605057211545e-07,0,0
144776,GJ105A,39.0231,6.8894,2452939.7366403,-2.616907,0.76433,25933.409821,0.854691,-5.343732,0.437681,25933.64073,0.397669,-5.343732,0.437681,-1.688247,4.834159,-24.439107,1.549441,0.54644,0.000553,0.175815,0.000558,0.229471,0.000707,0,5.956832,47.185309,0.009102,26,141.6,2452939.73659,2.338765,2.335283,0,-9999999,3e-06,-0.01087,0.626606,0.230906,0.756542,0.54,90,-1.675488,4.831512,2003-10-27T05:31:47.985,-9999999,K5,072.C-0096(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,7.9103365262574e-06,3.96949459866779e-07,0,0
144777,GJ105A,39.0231,6.8894,2452945.6954578,-1.725163,0.90805,25934.504098,1.055922,-4.493577,0.442092,25934.967122,0.390398,-4.493577,0.442092,-0.236168,4.859352,-29.631593,1.642327,0.544228,0.000551,0.179072,0.000554,0.234131,0.000702,0,5.952917,47.223205,0.008152,26,142.7,2452945.69539,-0.667416,-0.670847,0,-9999999,0.014491,-0.052459,0.793164,0.448533,0.981102,0.56,90,-0.234388,4.854716,2003-11-02T04:32:26.536,-9999999,K5,072.C-0096(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K3V,8.15333813760965e-06,4.97990058745243e-07,0,0
144778,GJ105A,39.0231,6.8894,2452945.6968222,-3.465828,0.896938,25932.75773,1.046708,-6.234661,0.418793,25933.218193,0.364742,-6.234661,0.418793,8.039797,4.61856,-31.216858,1.49783,0.545114,0.000513,0.178858,0.000518,0.233908,0.000656,0,5.95189,47.232624,0.007644,26,152.4,2452945.6968,-0.671585,-0.675181,0,-9999999,0.014494,-0.052878,0.793164,0.445969,0.981102,0.52,90,8.033472,4.605082,2003-11-02T04:34:28.017,-9999999,K5,072.C-0096(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K3V,7.37747841136838e-06,4.73260423840474e-07,0,0
144779,GJ105A,39.0231,6.8894,2452996.6412142,-1.688089,0.993269,25936.789802,1.080374,-4.497831,0.507571,25937.158555,0.452369,-4.497831,0.507571,-3.603672,6.231417,-31.507979,1.148553,0.549,0.000643,0.179422,0.000651,0.234582,0.000829,0,5.955934,47.18575,0.009358,26,122.3,2452996.6412,-23.88517,-23.887287,0,-9999999,0.138351,-0.093788,0.853789,0.230402,0.981106,0.49,90,-3.610556,6.226587,2003-12-23T03:17:36.873,-9999999,K5,072.C-0096(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,8.42391074673768e-06,5.69922320559311e-07,0,0
144780,GJ105A,39.0231,6.8894,2452996.6426721,-0.955198,0.993908,25937.1864,1.080665,-3.765388,0.508821,25937.552417,0.453064,-3.765388,0.508821,-8.303725,6.394498,-28.850041,1.387781,0.549187,0.000636,0.181172,0.000651,0.234398,0.000824,0,5.959292,47.185711,0.008101,26,122.9,2452996.64266,-23.888809,-23.890944,0,-9999999,0.138355,-0.094235,0.853789,0.227662,0.981106,0.53,90,-8.311865,6.390051,2003-12-23T03:19:39.245,-9999999,K5,072.C-0096(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,7.8523468414653e-06,4.4881590606839e-07,0,0
144781,GJ105A,39.0231,6.8894,2452999.542763,-2.256995,0.651524,25935.517873,0.590933,-5.250074,0.435383,25936.001613,0.405274,-5.250074,0.435383,-9.909574,4.851399,-36.901775,1.777374,0.546432,0.000605,0.177994,0.000616,0.233331,0.000786,0,5.951819,47.336854,0.008861,26,128.7,2452999.54275,-24.576387,-24.578364,0,-9999999,0.145405,-0.277124,0.484691,0.338335,0.430063,0.49,90,-9.917274,4.842201,2003-12-26T00:56:10.876,-9999999,K5,072.C-0096(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,8.70922399219718e-06,4.91861941060841e-07,0,0
144782,GJ105A,39.0231,6.8894,2452999.5441694,-2.810903,0.632864,25935.219596,0.571021,-5.804413,0.406931,25935.700696,0.375648,-5.804413,0.406931,-5.402874,4.537317,-35.725868,1.616657,0.546538,0.000568,0.178931,0.000576,0.232548,0.000731,0,5.951812,47.329408,0.008262,26,137.7,2452999.54416,-24.580384,-24.582367,0,-9999999,0.145409,-0.277556,0.48469,0.335691,0.430062,0.48,90,-5.406738,4.527217,2003-12-26T00:58:13.298,-9999999,K5,072.C-0096(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,8.4798564764113e-06,4.94809490489744e-07,0,0
144783,GJ105A,39.0231,6.8894,2453002.5425272,-0.374266,0.622713,25937.579808,0.645541,-2.424426,0.428559,25938.98236,0.400293,-2.424426,0.428559,-8.478062,6.384455,-34.972486,1.49691,0.546929,0.00061,0.178943,0.000618,0.232111,0.000784,0,5.952347,47.326975,0.00724,26,129.0,2453002.54252,-25.463719,-25.465547,0,-9999999,0.152698,0.665795,0.451784,1.249854,0.506447,0.48,90,-8.518324,6.38044,2003-12-29T00:56:13.040,-9999999,K5,072.C-0096(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,1.03292384973884e-05,5.71685576297235e-07,0,0
144784,GJ105A,39.0231,6.8894,2453002.5439441,-0.983639,0.629215,25938.211382,0.652026,-3.034233,0.437955,25939.611275,0.410671,-3.034233,0.437955,-8.946149,5.736544,-34.170909,1.420403,0.547243,0.000629,0.178423,0.000635,0.231718,0.000806,0,5.956416,47.307795,0.008343,26,125.5,2453002.54394,-25.467709,-25.469514,0,-9999999,0.152702,0.66536,0.451782,1.247191,0.506445,0.48,90,-8.963042,5.732041,2003-12-29T00:58:15.471,-9999999,K5,072.C-0096(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,8.73175240584256e-06,4.77728857437053e-07,0,0
144785,GJ105A,39.0231,6.8894,2453028.5131718,1.53395,1.258018,23594965.718838,1.312836,-0.561214,0.923897,23594967.2343,0.872286,-0.561214,0.923897,1.713439,8.390834,-25.944444,1.941875,0.548678,0.001167,0.180811,0.001261,0.233622,0.001567,0,6.204358,0.681031,4.290136,23604,68.1,2453028.51317,-29.926416,-29.926664,0,-9999999,0.215839,0.62079,0.853829,1.299623,0.98115,0.52,30,1.722966,8.390054,2004-01-24T00:17:54.813,-9999999,K5,072.C-0096(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,1.09417522969231e-05,6.06753011158172e-07,0,0
