,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
1625,HD164249A,270.762932,-51.650505,2456772.8238071,34.236263,7.070377,221.503782,2.248839,39.497226,7.018306,221.150451,2.02353,25.299153,9.109169,-100.890335,75.180386,-0.19299,4.427443,0.401747,0.001478,0.568644,0.002434,0.706823,0.003054,0,65.554074,28.170945,-11.369906,0,55.9,2456772.8238,21.842312,21.842406,0,-9999999,0.0,-0.039386,0.85651,-0.353331,0.981123,0.52,42,-96.296635,76.648581,2014-04-25T07:41:44.719,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,3.10441281373276e-06,4.44735962812612e-06,1,1
1626,HD164249A,270.762932,-51.650505,2456772.8246451,47.751436,6.809241,229.090228,2.194412,53.012136,6.755158,228.735322,1.962866,47.500795,8.826898,74.767877,79.880392,-1.030808,4.18581,0.403282,0.001425,0.568352,0.002384,0.704289,0.002946,0,72.046939,31.7564,-9.372016,0,57.8,2456772.82464,21.840805,21.84089,0,-9999999,0.0,-0.03965,0.85651,-0.354906,0.981123,0.49,42,76.380513,81.946927,2014-04-25T07:42:58.394,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,1.86093798417968e-05,3.27001613238365e-06,1,1
1627,HD164249A,270.762932,-51.650505,2456772.8254995,44.523038,7.569818,269.294367,2.340182,49.783469,7.521206,268.937855,2.124582,47.637275,9.772458,-11.350691,83.60418,1.810167,4.018774,0.401531,0.001582,0.567572,0.002625,0.70228,0.003237,0,65.282482,27.95783,2.159861,0,52.7,2456772.8255,21.839266,21.839351,0,-9999999,0.0,-0.039918,0.856511,-0.356512,0.981123,0.49,42,-7.777646,85.168202,2014-04-25T07:44:12.208,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,2.23660896566187e-05,3.33211815275448e-06,1,1
1628,HD164249A,270.762932,-51.650505,2456773.8062296,109.756496,12.292662,209.924817,3.344017,115.171696,12.262787,209.791567,3.196851,81.476274,15.831611,54.675256,113.316158,-11.381603,6.805869,0.397771,0.002568,0.571893,0.004221,0.711667,0.005162,0,60.453933,25.275141,-9.634738,0,33.9,2456773.80622,21.615564,21.615676,0,-9999999,2.3e-05,0.114851,0.856505,-0.133273,0.981117,0.54,42,59.652941,120.410926,2014-04-26T07:16:19.040,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,1.78953469593028e-05,3.89947781771993e-06,1,1
1629,HD164249A,270.762932,-51.650505,2456773.8071004,41.714441,11.357524,249.784681,3.107815,47.129368,11.325182,249.649795,2.948885,44.843761,14.651443,-155.784547,159.591482,-4.384914,6.100213,0.405036,0.002317,0.574052,0.00382,0.719629,0.004696,0,73.763026,32.668334,-2.771219,0,37.1,2456773.8071,21.614026,21.614127,0,-9999999,2.3e-05,0.114577,0.856505,-0.134909,0.981118,0.57,42,-111.544909,129.013478,2014-04-26T07:17:32.994,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,-9999999.0,-9999999.0,-9999999,-9999999
1630,HD164249A,270.762932,-51.650505,2456773.8079364,71.268156,9.55793,211.044646,2.751311,76.68282,9.519476,210.908189,2.570432,49.005874,12.357717,88.209195,103.486605,-3.613438,5.223035,0.395744,0.001957,0.571141,0.003272,0.711258,0.004007,0,78.960106,35.373526,-1.15696,0,42.9,2456773.80793,21.612548,21.612639,0,-9999999,2.3e-05,0.114315,0.856505,-0.13648,0.981118,0.52,42,87.483228,105.79501,2014-04-26T07:18:47.350,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,9.12814743911468e-06,5.05911164260466e-06,1,1
1631,HD164249A,270.762932,-51.650505,2456794.7324552,52.899332,5.76335,232.359911,2.020605,58.360007,5.699353,232.41638,1.766432,46.151043,7.55118,32.982137,56.811881,-3.584147,3.379392,0.403275,0.001209,0.565029,0.00204,0.706096,0.002505,0,75.786011,33.734463,-16.993857,0,67.2,2456794.73245,15.057417,15.057571,0,-9999999,0.000506,0.160326,0.856492,0.055963,0.981103,0.5,60,32.558054,58.27283,2014-05-17T05:28:06.768,-9999999,G2,192.C-0224(H),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,1.66581912079096e-05,3.52339212005311e-06,1,1
1632,HD164249A,270.762932,-51.650505,2456794.7335242,8.073252,5.966934,214.254698,2.044178,13.533592,5.905144,214.309158,1.793349,9.918381,7.687305,-49.549636,51.734138,-6.130906,3.563132,0.403713,0.001241,0.565429,0.002092,0.70527,0.002566,0,76.005636,33.866186,-16.078867,0,65.4,2456794.73352,15.055487,15.055632,-1,-9999999,0.000506,0.15999,0.856492,0.053954,0.981103,0.51,60,-48.280756,52.675528,2014-05-17T05:29:38.523,-9999999,G2,192.C-0224(H),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,1.9325930511336e-05,2.70601104072203e-06,1,1
1633,HD164249A,270.762932,-51.650505,2456794.7877746,-7.332165,2.09126,268.223008,1.379517,-1.888867,1.90782,268.175504,0.969787,-3.177949,2.625944,0.465339,19.472212,-0.063229,1.008673,0.402944,0.000428,0.568162,0.000732,0.706533,0.000898,0,26.117438,9.826429,-0.283377,0,185.1,2456794.78777,14.952919,14.95306,0,-9999999,0.000507,0.142949,0.8565,-0.048011,0.981112,0.52,500,-0.082211,19.959055,2014-05-17T06:43:56.123,-9999999,G2,192.C-0224(H),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,1.77166284396138e-05,5.25335491819216e-06,1,1
1634,HD164249A,270.762932,-51.650505,2456795.7434152,-21.476986,2.971367,227.583083,1.590829,-16.232886,2.86082,227.653407,1.252267,-9.241438,3.818079,-39.598043,29.364774,-0.798393,1.699537,0.403848,0.000618,0.569011,0.001046,0.705956,0.001313,0,82.149475,37.132725,-8.6574,0,128.3,2456795.74341,14.670058,14.670207,0,-9999999,0.000529,-0.05625,0.802951,0.069795,0.981104,0.49,300,-39.149116,29.903496,2014-05-18T05:41:52.406,-9999999,G2,192.C-0224(H),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F6,1.52820330933971e-05,5.13752964174123e-06,1,1
