,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
106502,HIP109012,331.27444,-35.18164,2452948.5495993,-7.941735,5.78425,-10591.395713,6.737299,-15.125826,5.720458,-10590.712796,6.665459,-28.912607,5.766591,-13.1448,52.986215,11.467142,5.077002,0.473534,0.007186,0.27043,0.010114,0.344969,0.012817,0,6.882388,54.464444,-0.018491,-11,12.3,2452948.5493,-27.734915,-27.7343,0,-9999999,0.0,0.391204,0.856682,0.682917,0.981254,0.65,173,-14.732741,53.046148,2003-11-05T01:08:23.735,-9999999,G2,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8V,2.83338546060695e-05,1.72704681393768e-06,0,0
106503,HIP109012,331.27444,-35.18164,2453268.6281435,-0.476003,1.589117,-10580.751674,1.930636,-9.550155,1.338442,-10581.867401,1.662691,-20.282244,1.378139,30.816416,10.074508,3.210907,1.532583,0.450582,0.001635,0.263786,0.002117,0.358091,0.002701,0,6.825383,55.104268,-0.035533,-11,46.5,2453268.62813,-16.899635,-16.899312,0,-9999999,0.138431,-1.498857,0.85666,-1.254158,0.98123,0.51,119,30.636478,10.028683,2004-09-20T02:57:17.275,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,6.51870556167358e-06,1.89345483685793e-06,0,0
106504,HIP109012,331.27444,-35.18164,2453273.6824427,2.575832,2.003095,-10584.094714,2.611079,-6.572973,1.810672,-10585.13669,2.419697,-17.24245,1.859863,0.798878,13.651968,2.224961,1.575095,0.456394,0.002196,0.271089,0.002853,0.362355,0.003645,0,6.81404,55.399855,-0.049644,-11,35.9,2453273.68244,-18.871143,-18.87088,0,-9999999,0.140617,-1.57351,0.856654,-1.182593,0.981223,0.53,119,0.764032,13.453079,2004-09-25T04:15:52.317,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,2.42724492217463e-05,7.47214133972738e-07,0,0
106505,HIP109012,331.27444,-35.18164,2453291.5777694,-1.753607,1.539803,-10588.066856,1.82323,-9.322218,1.279494,-10587.679115,1.536661,-20.358005,1.313566,-6.869443,12.139533,2.539229,1.327001,0.450719,0.001586,0.259071,0.002043,0.344608,0.002622,0,6.811993,55.348336,-0.04841,-11,48.2,2453291.57776,-24.145926,-24.145709,0,-9999999,0.148357,0.006684,0.856673,0.239384,0.981244,0.47,120,-6.961772,12.242325,2004-10-13T01:47:06.246,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,5.02753724344065e-06,1.60635141992309e-06,0,0
106506,HIP109012,331.27444,-35.18164,2453517.8917206,1.069698,1.276856,-10582.1368,1.3728,-7.714671,1.090621,-10583.773752,1.221071,-18.143085,1.133916,1.738863,8.032898,-1.822206,0.953243,0.452713,0.001403,0.26772,0.001785,0.352388,0.002262,0,6.816613,55.424367,-0.047285,-11,54.9,2453517.89172,26.431687,26.431791,0,-9999999,0.246235,-1.209075,0.664009,-1.883187,0.627349,0.5,169,1.655126,7.738214,2005-05-27T09:20:32.951,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,-9999999.0,-9999999.0,-9999999,-9999999
106507,HIP109012,331.27444,-35.18164,2453520.9273694,-7.751093,2.309273,-10592.922792,3.019343,-15.031066,2.154184,-10592.31439,2.872747,-26.092611,2.215318,-10.3657,18.504414,-1.291565,1.787717,0.457922,0.002598,0.271135,0.003434,0.358279,0.004277,0,6.811841,55.485117,-0.050523,-11,30.9,2453520.92736,25.939512,25.939622,0,-9999999,0.247548,0.295322,0.832006,0.360854,0.929384,0.5,119,-10.509636,18.574218,2005-05-30T10:11:55.342,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,1.09641670951468e-05,1.56640221263854e-06,0,0
106508,HIP109012,331.27444,-35.18164,2453544.8842914,2.613083,1.096151,-10581.930119,1.232358,-5.024167,0.683825,-10581.720101,0.745531,-15.995617,0.737048,0.802548,6.490118,-6.342493,0.615613,0.452347,0.001037,0.262373,0.001264,0.35081,0.001617,0,6.811339,55.190212,-0.042299,-11,74.9,2453544.88429,20.410817,20.411061,0,-9999999,0.257909,-0.061955,0.856697,-0.047891,0.98127,0.49,268,0.900278,6.468183,2005-06-23T09:05:58.980,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,4.14142160325353e-06,1.00395806519582e-06,0,0
106509,HIP109012,331.27444,-35.18164,2453976.694651,-1.922168,1.257412,-10586.702513,1.404472,-9.482252,0.969173,-10586.021255,1.047515,-20.215631,1.01224,-5.387248,8.467155,-5.945832,0.777838,0.452617,0.001357,0.264501,0.001651,0.360325,0.002143,0,6.807039,55.201109,-0.045049,-11,58.4,2453976.69475,-7.50988,-7.509814,0,-9999999,0.444663,0.015211,0.801117,0.236595,0.935551,0.45,183,-5.427706,8.42891,2006-08-29T04:31:23.896,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,1.07993834671252e-05,9.57394330561439e-07,0,0
106510,HIP109012,331.27444,-35.18164,2454228.9056358,2.316225,1.759287,-10582.529493,2.051751,-7.016124,1.555368,-10584.511386,1.880965,-18.405802,1.609259,13.745513,13.492281,4.96589,1.361074,0.44931,0.001982,0.261485,0.002503,0.362978,0.003191,0,6.819346,55.050951,-0.037773,-11,40.7,2454228.90573,27.473721,27.473533,0,-9999999,0.553742,-1.757055,0.822144,-2.535635,0.819544,0.4,120,13.69791,13.428356,2007-05-08T09:43:45.933,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,1.45016625754215e-05,9.5343164634411e-07,0,0
106511,HIP109012,331.27444,-35.18164,2455429.731873,-1.423276,1.466977,-10585.534662,1.602992,-9.26346,1.190867,-10584.287992,1.267589,-20.033408,1.235306,-9.333614,8.361933,1.065305,1.040129,0.456228,0.001501,0.261026,0.001805,0.349527,0.002327,0,6.814137,55.204519,-0.051326,-11,54.2,2455429.73187,-3.87607,-3.875728,0,-9999999,1.073089,-0.264889,0.856655,0.173581,0.981224,0.51,119,-9.455339,8.194627,2010-08-21T05:25:10.652,-9999999,G2,085.C-0019(A),LoCurto,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8,1.42002113966499e-06,1.72673412847363e-06,0,0
