,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
48934,GJ302,124.600724,-12.63416,2452939.874112,-0.98169,0.712348,30295.460689,0.805451,-5.633725,0.331082,30295.433216,0.276256,-5.576206,0.331069,-4.465199,3.737213,-10.741774,1.26823,0.456975,0.000334,0.263015,0.000413,0.360633,0.000533,0,6.118149,39.428979,-0.001719,30,221.1,2452939.87402,25.631015,25.631746,0,-9999999,0.0,-0.074317,0.630734,-0.027473,0.756594,0.53,245,-4.428651,3.704501,2003-10-27T08:57:26.775,-9999999,K5,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0V,7.73655847660259e-06,3.24710612069381e-07,0,0
48935,GJ302,124.600724,-12.63416,2452943.8761996,3.663373,0.636248,30299.786524,0.645818,-1.118022,0.310512,30299.419891,0.249724,-1.087518,0.310508,-4.022261,3.80054,-12.466636,1.261777,0.458391,0.000313,0.263469,0.000383,0.36163,0.000494,0,6.116669,39.433562,-0.000751,30,239.3,2452943.87609,25.748272,25.7489,0,-9999999,0.003337,-0.203678,0.555332,-0.36997,0.595583,0.54,232,-3.981807,3.796455,2003-10-31T09:00:02.362,-9999999,K5,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0V,8.83064090410043e-06,3.17104265773594e-07,0,0
48936,GJ302,124.600724,-12.63416,2452946.8631891,-0.244492,0.907526,30296.023306,1.010299,-4.534408,0.301182,30296.162415,0.240979,-4.47969,0.301234,-9.666846,4.050984,-20.129098,1.441371,0.455553,0.000308,0.260892,0.000379,0.360882,0.000492,0,6.122008,39.533377,-0.001065,30,240.6,2452946.86307,25.787536,25.788099,0,-9999999,0.005828,0.287802,0.856091,0.133281,0.981138,0.53,318,-9.630968,4.02538,2003-11-03T08:40:12.505,-9999999,K5,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0V,8.99343242916433e-06,3.13991964566212e-07,0,0
48937,GJ302,124.600724,-12.63416,2452949.8404003,2.443652,0.968664,30284.363483,1.059223,-1.836468,0.453248,30284.524808,0.399173,-1.766646,0.453306,-21.147647,7.27216,-8.685336,1.041317,0.45819,0.000475,0.263665,0.000592,0.361101,0.000761,0,6.639479,53.244134,-0.045512,30,155.4,2452949.84027,25.781801,25.78211,0,-9999999,0.00831,0.297597,0.856082,0.153015,0.981129,0.56,180,-21.114182,7.268238,2003-11-06T08:08:09.578,-9999999,G2,072.C-0513(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,8.00897066278825e-06,4.06465309046584e-07,0,0
48938,GJ302,124.600724,-12.63416,2452949.8428039,0.765188,0.951702,30284.024751,1.046507,-3.515642,0.415763,30284.181561,0.364089,-3.45477,0.415719,-21.007121,6.695983,-9.540565,1.260456,0.457089,0.000433,0.264359,0.00054,0.363323,0.000697,0,6.638365,53.250497,-0.040637,30,170.1,2452949.84273,25.776412,25.776573,0,-9999999,0.008312,0.296887,0.856083,0.148498,0.98113,0.53,180,-20.966193,6.68617,2003-11-06T08:11:42.629,-9999999,G2,072.C-0513(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,7.78752809389767e-06,4.18812390298213e-07,0,0
48939,GJ302,124.600724,-12.63416,2452949.8452934,1.528128,0.954332,30283.633989,1.048762,-2.753437,0.421745,30283.786122,0.370518,-2.724149,0.421696,-20.152275,6.779667,-9.27515,1.420855,0.457113,0.00044,0.262738,0.000547,0.361644,0.000707,0,6.642397,53.252448,-0.043328,30,167.4,2452949.84525,25.770786,25.770913,0,-9999999,0.008314,0.296152,0.856084,0.143819,0.981131,0.52,180,-20.122729,6.770597,2003-11-06T08:15:19.501,-9999999,G2,072.C-0513(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,7.18160444450304e-06,4.99505962775084e-07,0,0
48940,GJ302,124.600724,-12.63416,2452997.8089578,-1.645443,1.110016,30295.066499,1.158274,-6.412229,0.706594,30295.052077,0.615635,-6.371986,0.706745,1.277631,6.53162,-13.23376,1.587968,0.456461,0.000806,0.263195,0.000989,0.356133,0.00128,0,6.106616,39.440846,0.000286,30,94.8,2452997.80895,15.975698,15.97607,0,-9999999,0.048306,-0.189068,0.856072,-0.062728,0.981118,0.5,84,1.267313,6.504745,2003-12-24T07:18:45.648,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,7.05490398534924e-06,6.41353894169733e-07,0,0
48941,GJ302,124.600724,-12.63416,2453000.7111784,1.49643,1.052955,30298.73699,1.107847,-3.325037,0.613091,30297.880611,0.557807,-3.292196,0.613234,-4.363674,8.022237,-21.500465,1.450716,0.454125,0.000712,0.262974,0.000898,0.350094,0.001153,0,6.107493,39.527571,-0.003498,30,103.6,2453000.71117,15.138084,15.138433,0,-9999999,0.050726,-0.243749,0.856057,-0.907105,0.957171,0.52,88,-4.340074,8.012007,2003-12-27T04:57:40.477,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,6.168291233214e-06,6.02358973030587e-07,0,0
48942,GJ302,124.600724,-12.63416,2453035.7797128,4.082017,0.909668,30299.681031,1.014871,0.109295,0.307651,30300.691316,0.259588,0.132002,0.307931,-13.541784,4.254608,-24.490734,1.029281,0.448514,0.000329,0.264358,0.00041,0.356667,0.000526,0,6.10814,39.515729,-0.002658,30,225.7,2453035.77971,-0.123579,-0.1236,0,-9999999,0.079967,0.604995,0.856065,0.930318,0.98111,0.5,300,-13.500662,4.258692,2004-01-31T06:33:19.161,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,8.19155522977415e-06,3.23361225241126e-07,0,0
48943,GJ302,124.600724,-12.63416,2453038.6994226,6.003044,0.865446,30301.434788,0.908036,2.701142,0.430059,30303.338245,0.383842,2.71239,0.430281,-21.464897,4.303551,-20.419916,1.102473,0.451174,0.000459,0.269579,0.000582,0.35514,0.000745,0,6.108006,39.485898,-0.004471,30,159.0,2453038.69942,-1.267624,-1.267643,0,-9999999,0.082401,1.275816,0.75103,1.821056,0.822918,0.49,166,-21.42584,4.322819,2004-02-03T04:38:51.221,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K0,8.83445313301056e-06,4.34625767699733e-07,0,0
