,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
198697,HD9362,22.814559,-49.07213,2454044.6423061,-7.610403,1.162559,-5731.481054,1.181249,-17.378085,0.786105,-5730.754693,0.657859,-11.668374,0.809496,15.449896,7.885473,-19.968694,1.971111,0.416533,0.000747,0.301419,0.001047,0.432199,0.001405,0,7.91494,56.378105,0.048681,-7,93.8,2454044.64236,-13.919937,-13.920001,0,-9999999,0.0,0.518724,0.856495,0.726361,0.981106,0.23,20,15.420902,7.847383,2006-11-05T03:21:32.118,-9999999,G2,078.C-0751(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G9III,6.54868602767463e-06,5.31711129143924e-07,0,0
198698,HD9362,22.814559,-49.07213,2454370.6961344,9.196081,0.880155,-5715.58352,1.005622,-0.037901,0.390161,-5714.078471,0.36562,5.324884,0.424886,2.24577,4.383754,-4.11132,0.944456,0.416009,0.000403,0.299615,0.000556,0.434822,0.000751,0,7.92688,56.19507,0.045339,-7,173.9,2454370.69613,-3.339899,-3.339916,0,-9999999,0.038285,1.052424,0.788953,1.466764,0.936801,0.5,20,2.26776,4.381317,2007-09-27T04:37:16.569,-9999999,G2,079.C-0657(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,6.5902261264757e-06,4.79165560265827e-07,0,0
198699,HD9362,22.814559,-49.07213,2454371.6630931,-9.762516,0.972432,-5734.079626,1.066848,-19.583974,0.460483,-5734.027265,0.419047,-14.345219,0.492014,14.091306,4.253542,-2.034883,1.06915,0.414392,0.000459,0.289774,0.000635,0.423311,0.000859,0,7.920204,56.165664,0.05496,-7,151.9,2454371.66308,-3.586636,-3.586636,0,-9999999,0.038398,0.464949,0.856492,0.013963,0.981104,0.5,20,14.04443,4.195403,2007-09-28T03:49:42.797,-9999999,G2,079.C-0657(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,6.59266772980553e-06,6.4844308057614e-07,0,0
198700,HD9362,22.814559,-49.07213,2454622.895129,-7.580227,0.982793,-5732.289588,1.068002,-16.192152,0.481895,-5730.651634,0.421858,-10.610359,0.506039,13.669244,5.089063,-3.147858,1.090977,0.419815,0.000464,0.291162,0.000638,0.439293,0.000865,0,7.929041,56.182306,0.055025,-7,152.1,2454622.89512,17.83271,17.832653,0,-9999999,0.067898,1.674482,0.856539,1.570056,0.981154,0.5,20,13.622888,5.005181,2008-06-05T09:29:35.803,-9999999,G2,081.C-0802(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,6.42885452553572e-06,5.00557694635796e-07,0,0
198701,HD9362,22.814559,-49.07213,2454623.9023348,-14.195847,1.089286,-5738.671681,1.137601,-22.810035,0.672963,-5737.047153,0.57573,-17.503627,0.691982,18.780902,6.655142,-5.253735,1.422738,0.417118,0.000651,0.294012,0.000891,0.435116,0.001193,0,7.916572,56.188457,0.05274,-7,109.7,2454623.90233,17.865658,17.8656,0,-9999999,0.068016,1.672218,0.856543,1.556512,0.981158,0.5,20,18.729442,6.547732,2008-06-06T09:39:53.265,-9999999,G2,081.C-0802(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,5.3202095922868e-06,4.60456926346183e-07,0,0
198702,HD9362,22.814559,-49.07213,2454684.7393039,-17.547149,0.963128,-5742.276531,1.045575,-27.658072,0.440496,-5742.330237,0.393344,-22.333769,0.469075,12.595301,4.958968,1.311758,0.911681,0.416308,0.00043,0.294784,0.000594,0.43546,0.000798,0,7.928053,56.15818,0.048239,-7,163.1,2454684.7393,11.457829,11.457819,0,-9999999,0.075159,0.175483,0.856492,-0.128865,0.968766,0.5,20,12.589065,4.831625,2008-08-06T05:40:29.435,-9999999,G2,081.C-0802(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,6.3476483672133e-06,4.78937293733767e-07,0,0
198703,HD9362,22.814559,-49.07213,2454785.6295319,34.31082,1.150661,-5689.235148,1.082841,30.054124,0.769281,-5683.384268,0.656368,35.415669,0.791577,4.510721,6.838767,4.643078,1.354672,0.41424,0.000734,0.291193,0.001022,0.433418,0.00138,0,7.949943,56.113577,0.047128,-7,96.4,2454785.62958,-15.892151,-15.892208,0,-9999999,0.087006,6.029711,0.855702,5.763874,0.861235,0.22,20,4.513703,6.783153,2008-11-15T03:03:55.092,-9999999,G2,082.C-0427(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,6.18072717443128e-06,6.0375060919135e-07,0,0
198704,HD9362,22.814559,-49.07213,2454787.5929873,3.387945,1.054928,-5719.861793,1.118978,-7.253653,0.615851,-5720.247661,0.53807,-1.370261,0.639606,6.165189,5.633269,-1.153948,1.463542,0.415953,0.000599,0.301013,0.000827,0.422919,0.001112,0,7.928447,56.197306,0.052924,-7,118.6,2454787.59299,-16.150327,-16.150267,0,-9999999,0.087236,-0.355191,0.856505,-0.473104,0.981118,0.5,20,6.221722,5.635017,2008-11-17T02:11:21.103,-9999999,G2,082.C-0427(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,7.35438061568081e-06,6.31517470064002e-07,0,0
198705,HD9362,22.814559,-49.07213,2454788.6054326,12.50739,0.950165,-5711.274009,1.051715,1.861747,0.411361,-5711.68411,0.37884,7.104894,0.440177,13.34794,4.614586,5.114631,0.811767,0.415391,0.000422,0.300248,0.000576,0.43299,0.000778,0,7.934655,56.09374,0.04599,-7,168.8,2454788.60543,-16.329067,-16.329018,0,-9999999,0.087355,-0.359237,0.856502,-0.497456,0.981114,0.5,20,13.356219,4.629017,2008-11-18T02:29:21.112,-9999999,G2,082.C-0427(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_NONE_G9III,6.67714161819875e-06,4.47354145710988e-07,0,0
198706,HD9362,22.814559,-49.07213,2457161.91783,-9999999.0,-9999999.0,-9999999.0,-9999999.0,-0.532692,0.032664,-5720.725524,0.164543,-0.366939,0.162907,-7.650647,2.16913,0.774684,0.665203,0.414451,0.00017,0.293301,0.000232,0.437437,0.000314,128,7.970992,54.898193,0.045232,-99999,415.5,2457161.91782,16.27619,16.276273,0,-9999999,0.366026,-9999999.0,-9999999.0,-9999999.0,-9999999.0,0.51,200,-7.60853,2.177582,2015-05-19T10:02:10.519,-9999999,G2,095.D-0026(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,6.61682057876751e-06,6.05805946811763e-07,0,0
