,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
1,115404,2453240.761898,-59.49,1.192772,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
2,115404,2453399.094792,-38.33,1.045943,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
3,115404,2453483.917234,-51.74,1.054908,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
4,115404,2453841.911771,-54.43,1.183908,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
5,115404,2455255.888777,-20.74,1.086289,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
6,115404,2455339.891354,-14.59,1.189927,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
7,115404,2455993.014256,-10.71,1.299892,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
8,115404,2455993.018075,-13.57,1.315002,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
9,115404,2455993.021559,-10.54,1.276821,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
10,115404,2456114.798615,-11.49,1.450252,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
11,115404,2456855.746127,8.32,1.3144,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
12,115404,2457265.715103,6.46,1.382963,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
13,115404,2457414.054407,16.38,1.239764,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,-1.0,HIRES-Post,2021ApJS..255....8R
