,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
213536,GJ559B,219.89609629,-60.83752757,2453139.5565685,1257.3645,0.881574,-21689.697478,0.989989,836.287683,0.208691,-21689.779226,0.132141,836.292497,0.209748,8.070295,1.891999,-42.983566,2.380227,0.49076,0.000188,0.209663,0.0002,0.271822,0.000255,128,6.91943,59.667679,-0.036445,-22,410.6,2453139.55656,2.645972,2.649378,1,-9999999,0.0,-0.814169,0.856517,-0.081748,0.98113,0.47,30,8.072136,1.98912,2004-05-14T01:15:04.241,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213537,GJ559B,219.89609629,-60.83752757,2453139.5572857,1257.36666,0.881654,-21689.180059,0.988838,836.289618,0.209027,-21689.263154,0.123228,836.300612,0.210236,8.319986,1.97458,-49.40983,2.455643,0.490036,0.000179,0.209796,0.000189,0.271571,0.000241,128,6.918304,59.741939,-0.035976,-22,435.0,2453139.55728,2.64502,2.648427,1,-9999999,1e-06,-0.814395,0.856517,-0.083096,0.98113,0.51,30,8.325954,2.072593,2004-05-14T01:16:05.001,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213538,GJ559B,219.89609629,-60.83752757,2453139.5965345,1258.28518,0.920951,-21688.296666,1.027806,837.195809,0.338453,-21688.453485,0.30626,837.223994,0.338855,16.481462,3.612455,-28.334144,1.234786,0.492086,0.000446,0.208377,0.000471,0.27299,0.000598,0,6.896765,59.464224,-0.034032,-22,177.4,2453139.59653,2.589379,2.592793,0,-9999999,4.6e-05,-0.826724,0.856504,-0.156865,0.981116,0.5,5,16.465315,3.699135,2004-05-14T02:12:48.866,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213539,GJ559B,219.89609629,-60.83752757,2453139.5969411,1259.323117,0.925602,-21686.853904,1.03193,838.233618,0.350912,-21687.011486,0.319827,838.265788,0.351429,14.517596,3.003116,-31.681358,1.326215,0.492132,0.000473,0.206359,0.000495,0.273842,0.000632,0,6.894845,59.482173,-0.034627,-22,168.3,2453139.59694,2.588771,2.592189,0,-9999999,4.7e-05,-0.826851,0.856504,-0.157629,0.981116,0.5,5,14.502664,3.089894,2004-05-14T02:13:23.998,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213540,GJ559B,219.89609629,-60.83752757,2453139.5973679,1257.954948,0.918849,-21688.380249,1.026275,836.865315,0.332693,-21688.538633,0.301085,836.870401,0.333073,12.00205,2.894025,-24.838098,1.351256,0.491158,0.000431,0.206657,0.000456,0.272533,0.000581,0,6.899822,59.431061,-0.035539,-22,182.0,2453139.59736,2.588132,2.591549,0,-9999999,4.7e-05,-0.826985,0.856504,-0.158431,0.981116,0.5,5,11.994758,2.995159,2004-05-14T02:14:00.877,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213541,GJ559B,219.89609629,-60.83752757,2453139.5978022,1258.023653,0.933842,-21688.983418,1.038197,836.933883,0.372105,-21689.142617,0.339506,836.949961,0.372435,21.222969,3.767781,-25.111685,1.397722,0.491865,0.000493,0.206384,0.000519,0.272931,0.000662,0,6.897949,59.430951,-0.036152,-22,160.5,2453139.59779,2.587481,2.590909,0,-9999999,4.8e-05,-0.827122,0.856504,-0.159247,0.981116,0.5,5,21.211157,3.844594,2004-05-14T02:14:38.398,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213542,GJ559B,219.89609629,-60.83752757,2453139.5982115,1259.937543,0.927805,-21686.54173,1.03379,838.847645,0.356683,-21686.701699,0.32578,838.865857,0.357213,13.250424,3.413917,-30.390143,1.157086,0.491634,0.000474,0.207253,0.000501,0.273739,0.000638,0,6.893731,59.465302,-0.037385,-22,166.6,2453139.59821,2.586867,2.590272,0,-9999999,4.8e-05,-0.82725,0.856504,-0.160017,0.981116,0.5,5,13.240103,3.489288,2004-05-14T02:15:13.769,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213543,GJ559B,219.89609629,-60.83752757,2453139.598678,1260.42137,0.927704,-21686.107496,1.0335,839.331325,0.356421,-21686.26834,0.324861,839.323787,0.356728,11.168449,3.904455,-26.774835,1.381981,0.493021,0.000475,0.2067,0.000499,0.273527,0.000636,0,6.897198,59.454941,-0.035118,-22,167.1,2453139.59867,2.586167,2.589579,0,-9999999,4.9e-05,-0.827397,0.856504,-0.160893,0.981116,0.5,5,11.159153,3.967334,2004-05-14T02:15:54.069,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213544,GJ559B,219.89609629,-60.83752757,2453139.5991488,1257.194691,0.936315,-21689.736287,1.040771,836.104498,0.37827,-21689.898016,0.347298,836.11036,0.378618,10.31604,3.496351,-25.256069,1.2357,0.492273,0.000496,0.207222,0.000526,0.273567,0.00067,0,6.899017,59.458318,-0.037474,-22,158.5,2453139.59915,2.58546,2.588867,0,-9999999,4.9e-05,-0.827545,0.856504,-0.161778,0.981116,0.5,5,10.297583,3.581057,2004-05-14T02:16:34.749,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
213545,GJ559B,219.89609629,-60.83752757,2453139.5996418,1257.350727,0.934103,-21689.244506,1.038434,836.26038,0.37276,-21689.407161,0.34023,836.328278,0.373316,22.452117,3.491173,-31.233981,1.257151,0.492478,0.000498,0.207353,0.000524,0.273154,0.000667,0,6.894535,59.477004,-0.034897,-22,159.3,2453139.59963,2.584718,2.588138,0,-9999999,5e-05,-0.8277,0.856503,-0.162705,0.981116,0.5,5,22.446835,3.569507,2004-05-14T02:17:17.340,-9999999,G2,60.A-9036(A),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5V,-9999999.0,-9999999.0,-9999999,-9999999
