Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
13348,131156,j,rj66.736,2454868.138576,-194.74,2.171636,0.44,22695.0
13349,131156,j,rj67.1018,2454934.929625,-195.83,1.941466,0.432,44870.0
13350,131156,j,rj81.716,2455190.171964,-205.11,1.95644,0.417,54018.0
13351,131156,j,rj146.699,2455995.044935,-113.04,2.101044,0.442,44563.0
13352,131156,j,rj189.1076,2456847.85081,-77.90,1.729295,0.4393,44711.0
13353,131156,j,rj229.122,2457556.025849,3.56,1.842662,0.4503,45686.0
13354,131156,j,rj229.277,2457556.83464,29.57,1.652957,0.4458,47957.0
13355,131156,j,rj231.477,2457570.829764,27.02,1.769026,0.459,50205.0
13356,131156,j,rj233.876,2457583.833516,94.35,1.5477,0.4485,55951.0
13357,131156,j,rj233.1080,2457584.805522,1.32,1.623165,0.4621,71964.0
13358,131156,j,rj237.64,2457615.728702,38.54,1.594569,0.4414,59034.0
13359,131156,j,rj237.261,2457616.72498,63.01,1.663701,0.4482,65036.0
13360,131156,j,rj237.465,2457617.722971,26.79,1.619424,0.453,56685.0
13361,131156,j,rj240.265,2457652.700214,50.05,1.863801,0.434,53148.0
13362,131156,j,rj240.466,2457653.698119,67.06,1.921107,0.4447,63539.0
13363,131156,j,rj255.99,2457887.000035,62.33,1.787815,0.449,49349.0
13364,131156,j,rj255.261,2457887.959663,40.94,1.896917,0.4549,53563.0
13365,131156,j,rj256.65,2457906.949747,49.07,1.833612,0.4616,49968.0
13366,131156,j,rj289.85,2458248.035745,74.35,2.151031,0.441,48586.0
13367,131156,j,rj359.168,2458853.182189,121.21,1.833028,0.4134,49555.0
