Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
30509,166620,apf,rabd.172,2456582.705076,1.87,1.273349,-1,9984.0
30510,166620,apf,rabk.135,2456597.696307,-1.95,1.228686,-1,9927.0
30511,166620,apf,radh.209,2456740.884303,5.82,1.260517,-1,9502.0
30512,166620,apf,raeg.249,2456804.995988,5.32,1.141947,-1,18533.0
30513,166620,apf,raeq.213,2456825.916328,2.66,0.916429,-1,30282.0
30514,166620,apf,raey.211,2456841.924726,0.67,1.003809,-1,28008.0
30515,166620,apf,raez.198,2456843.80483,2.42,1.623674,-1,4159.0
30516,166620,apf,rafb.204,2456847.826507,2.43,0.944495,-1,28369.0
30517,166620,apf,rafd.201,2456852.799271,-3.82,1.000016,-1,28368.0
30518,166620,apf,rafg.231,2456858.956416,8.73,1.259374,-1,25199.0
30519,166620,apf,ragu.181,2456939.646202,-0.54,1.249368,-1,10875.0
30520,166620,apf,ragu.184,2456939.691107,-0.45,1.194275,-1,12287.0
30521,166620,apf,raic.227,2457054.965595,1.00,0.981204,-1,18350.0
30522,166620,apf,raii.251,2457115.807881,1.31,1.080855,-1,13294.0
30523,166620,apf,raii.263,2457115.836366,0.06,1.047305,-1,14720.0
30524,166620,apf,rail.276,2457122.026198,1.13,0.912431,-1,18947.0
30525,166620,apf,raix.310,2457143.019573,-4.22,1.440343,-1,5543.0
30526,166620,apf,raix.311,2457143.021309,-5.27,1.411503,-1,5507.0
30527,166620,apf,raja.228,2457148.805249,-2.36,1.02765,-1,13583.0
30528,166620,apf,raja.272,2457148.987431,-4.31,1.339663,-1,6465.0
30529,166620,apf,raja.273,2457148.988936,-1.23,1.424412,-1,5951.0
30530,166620,apf,raja.274,2457148.990429,-0.57,1.321885,-1,6343.0
30531,166620,apf,rajb.212,2457151.908504,-3.30,0.938788,-1,18601.0
30532,166620,apf,rajb.247,2457151.976296,-1.15,1.291885,-1,6821.0
30533,166620,apf,rajb.248,2457151.97772,2.21,1.381891,-1,6937.0
30534,166620,apf,rajb.249,2457151.979109,-0.52,1.33546,-1,6785.0
30535,166620,apf,rajc.285,2457154.012498,-1.82,1.423068,-1,6458.0
30536,166620,apf,raje.233,2457158.976969,0.48,1.37374,-1,6040.0
30537,166620,apf,raje.234,2457158.978589,-4.98,1.31105,-1,5861.0
30538,166620,apf,raje.235,2457158.980187,-3.68,1.382206,-1,6425.0
30539,166620,apf,raji.258,2457165.95135,3.99,1.482801,-1,6424.0
30540,166620,apf,raji.259,2457165.952843,3.25,1.343781,-1,6238.0
30541,166620,apf,raji.260,2457165.954359,2.82,1.401538,-1,6545.0
30542,166620,apf,rajj.297,2457168.957244,2.81,1.205622,-1,10976.0
30543,166620,apf,rajj.298,2457168.958887,4.79,1.1028,-1,11221.0
30544,166620,apf,rajj.299,2457168.960531,1.10,1.137809,-1,11102.0
30545,166620,apf,rajk.243,2457170.841256,2.04,1.263147,-1,10944.0
30546,166620,apf,rajk.244,2457170.843085,1.21,1.161927,-1,10960.0
30547,166620,apf,rajk.245,2457170.844983,-0.99,1.124803,-1,10977.0
30548,166620,apf,rajm.215,2457176.93119,-0.50,1.46023,-1,5339.0
30549,166620,apf,rajm.216,2457176.932926,-0.73,1.559853,-1,5287.0
30550,166620,apf,rajm.217,2457176.934894,1.37,1.435239,-1,5929.0
30551,166620,apf,rajn.257,2457178.904522,3.75,1.429818,-1,6721.0
30552,166620,apf,rajn.258,2457178.905922,-2.10,1.371707,-1,6474.0
30553,166620,apf,rajn.259,2457178.907357,-4.15,1.501244,-1,6360.0
30554,166620,apf,rajo.240,2457179.92132,1.08,1.408858,-1,6695.0
30555,166620,apf,rajo.241,2457179.922732,3.29,1.469836,-1,6795.0
30556,166620,apf,rajo.242,2457179.924144,-2.31,1.428996,-1,6584.0
30557,166620,apf,rajp.245,2457181.819577,2.38,1.139451,-1,11195.0
30558,166620,apf,rajp.246,2457181.821509,-1.33,1.101379,-1,10909.0
30559,166620,apf,rajp.247,2457181.823651,5.45,1.133023,-1,11336.0
30560,166620,apf,rajp.264,2457181.901823,2.18,1.387448,-1,6224.0
30561,166620,apf,rajp.265,2457181.903362,1.24,1.435959,-1,6052.0
30562,166620,apf,rajp.266,2457181.904925,-1.21,1.343078,-1,6296.0
30563,166620,apf,rajr.206,2457185.895286,3.79,1.416716,-1,5813.0
30564,166620,apf,rajr.207,2457185.89693,1.03,1.4501,-1,5414.0
30565,166620,apf,rajr.208,2457185.898597,2.96,1.577411,-1,5379.0
30566,166620,apf,rajt.263,2457188.918105,0.49,1.147636,-1,11253.0
