,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
0,182572,2450366.74333,-2.24,1.04,0.172,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
1,182572,2450603.03236,5.87,0.94,0.1498,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
2,182572,2450665.9205,2.72,1.14,0.1521,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
3,182572,2450688.94858,2.47,1.0,0.1593,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
4,182572,2450689.9772,-5.69,1.03,0.1687,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
5,182572,2450713.74042,-3.71,1.0,0.1575,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
6,182572,2450714.77473,-4.33,0.96,0.1491,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
7,182572,2450715.92372,0.35,1.15,0.1738,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
8,182572,2450955.11857,-4.85,0.92,0.15,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
9,182572,2450984.04344,0.74,1.23,0.1573,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
10,182572,2451009.87231,-6.79,1.05,0.1466,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
11,182572,2451010.88653,-1.34,0.92,0.1473,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
12,182572,2451011.88407,-3.02,1.03,0.1445,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
13,182572,2451013.94246,-4.27,1.16,0.1383,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
14,182572,2451042.97248,-3.37,0.93,0.1424,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
15,182572,2451043.97781,-6.82,0.89,0.1395,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
16,182572,2451050.84669,3.14,0.98,0.1514,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
17,182572,2451068.77272,1.23,0.96,0.1538,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
18,182572,2451069.83404,-9.95,1.07,0.1434,-1,-1.0,-1,-1,-1,-1,-1,0,-1.0,HIRES-pre,2017yCat..51530208B
