HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD20794,2456146.91652,4.22,1.45,PFS-Pre,0.1469,0.00048,-1.0000,-1.0000,rn12.939
HD20794,2456175.88738,2.45,1.14,PFS-Pre,0.1722,0.00024,-1.0000,-1.0000,rn13.384
HD20794,2456285.62999,-3.40,0.75,PFS-Pre,0.1842,0.0003,-1.0000,-1.0000,rn14.472
HD20794,2456285.63135,-5.20,0.76,PFS-Pre,0.1807,0.00029,-1.0000,-1.0000,rn14.473
HD20794,2456285.63274,-4.49,0.71,PFS-Pre,0.1827,0.00027,-1.0000,-1.0000,rn14.474
HD20794,2456285.63413,-2.32,0.71,PFS-Pre,0.1839,0.00029,-1.0000,-1.0000,rn14.475
HD20794,2456293.66117,-1.83,0.77,PFS-Pre,0.1746,0.00028,-1.0000,-1.0000,rn14.1232
HD20794,2456293.66241,-0.24,0.88,PFS-Pre,0.1737,0.00029,-1.0000,-1.0000,rn14.1233
HD20794,2456293.66365,-0.65,0.85,PFS-Pre,0.1741,0.00028,-1.0000,-1.0000,rn14.1234
HD20794,2456293.66492,-0.48,0.86,PFS-Pre,0.1746,0.00028,-1.0000,-1.0000,rn14.1235
HD20794,2456348.52681,-2.11,0.94,PFS-Pre,0.1737,0.00052,-1.0000,-1.0000,rn15.628
HD20794,2456348.52815,-2.18,0.96,PFS-Pre,0.1786,0.00059,-1.0000,-1.0000,rn15.629
HD20794,2456348.52939,-2.72,1.01,PFS-Pre,0.1735,0.0006,-1.0000,-1.0000,rn15.630
HD20794,2456348.53064,-4.09,0.95,PFS-Pre,0.1736,0.00059,-1.0000,-1.0000,rn15.631
HD20794,2456348.53190,-3.18,0.93,PFS-Pre,0.1737,0.00061,-1.0000,-1.0000,rn15.632
HD20794,2456502.93843,2.87,1.16,PFS-Pre,0.1483,0.00058,-1.0000,-1.0000,rn17.310
HD20794,2456502.93998,0.48,1.21,PFS-Pre,0.1493,0.00058,-1.0000,-1.0000,rn17.311
HD20794,2456502.94144,1.51,1.26,PFS-Pre,0.1497,0.00058,-1.0000,-1.0000,rn17.312
HD20794,2456550.84295,0.20,1.39,PFS-Pre,0.1563,0.0006,-1.0000,-1.0000,rn18.223
HD20794,2456550.84495,3.22,1.31,PFS-Pre,0.1578,0.00059,-1.0000,-1.0000,rn18.224
HD20794,2456550.84657,0.87,1.28,PFS-Pre,0.1571,0.00058,-1.0000,-1.0000,rn18.225
HD20794,2456553.72108,-1.36,1.19,PFS-Pre,0.1702,0.00066,-1.0000,-1.0000,rn18.558
HD20794,2456553.72414,2.94,1.31,PFS-Pre,0.1695,0.00069,-1.0000,-1.0000,rn18.559
HD20794,2456611.73968,-2.54,1.25,PFS-Pre,0.1918,0.00019,-1.0000,-1.0000,rn19.1912
HD20794,2456611.74082,0.03,1.29,PFS-Pre,0.1917,0.00019,-1.0000,-1.0000,rn19.1913
HD20794,2456611.74195,1.26,1.28,PFS-Pre,0.1914,0.00019,-1.0000,-1.0000,rn19.1914
HD20794,2456611.74308,-1.06,1.34,PFS-Pre,0.1897,0.00018,-1.0000,-1.0000,rn19.1915
HD20794,2456702.54514,-1.83,0.94,PFS-Pre,0.1745,0.00031,-1.0000,-1.0000,rn20.1318
HD20794,2456702.54658,-3.42,0.93,PFS-Pre,0.1757,0.00031,-1.0000,-1.0000,rn20.1319
HD20794,2456702.54798,-3.36,0.87,PFS-Pre,0.1761,0.00031,-1.0000,-1.0000,rn20.1320
HD20794,2456702.54938,-1.98,0.82,PFS-Pre,0.1755,0.00032,-1.0000,-1.0000,rn20.1321
HD20794,2456880.88417,-5.59,1.14,PFS-Pre,0.1768,0.00045,-1.0000,-1.0000,rn23.1051
HD20794,2456880.88544,-2.03,1.13,PFS-Pre,0.1773,0.00036,-1.0000,-1.0000,rn23.1052
HD20794,2456880.88673,1.56,1.08,PFS-Pre,0.1783,0.0004,-1.0000,-1.0000,rn23.1053
HD20794,2457028.57693,-2.26,0.89,PFS-Pre,0.2492,0.00029,-1.0000,-1.0000,rn24.1069
HD20794,2457028.57827,0.66,0.82,PFS-Pre,0.2477,0.00029,-1.0000,-1.0000,rn24.1070
HD20794,2457028.57980,-1.12,0.81,PFS-Pre,0.2486,0.00029,-1.0000,-1.0000,rn24.1071
HD20794,2457028.58175,-1.08,0.77,PFS-Pre,0.2463,0.00029,-1.0000,-1.0000,rn24.1072
HD20794,2457061.56066,-2.25,0.86,PFS-Pre,0.1769,0.00034,-1.0000,-1.0000,rn25.1310
HD20794,2457061.56206,-3.44,0.83,PFS-Pre,0.1764,0.00032,-1.0000,-1.0000,rn25.1311
HD20794,2457061.56345,-2.51,0.91,PFS-Pre,0.1767,0.00031,-1.0000,-1.0000,rn25.1312
HD20794,2457061.56485,-1.93,0.86,PFS-Pre,0.1767,0.00034,-1.0000,-1.0000,rn25.1313
HD20794,2457268.89444,3.70,1.11,PFS-Pre,0.2412,0.00029,-1.0000,-1.0000,rn28.1996
HD20794,2457268.89584,1.34,1.05,PFS-Pre,0.2421,0.0003,-1.0000,-1.0000,rn28.1997
